Sample	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed
TS047_RoL_RNA_20_1	4.9	28433778	10768551	28433778	2871811578	1700258	2834906908	1.2850658546930616
TS047_RoL_RNA_20_2	4.9	28433778	11418194	28433778	2871811578	3761290	2831865440	1.3909734993066458
TS047_RoL_RNA_229_1	4.9	28873412	11005076	28873412	2916214612	1458409	2875346233	1.401418771849978
TS047_RoL_RNA_229_2	4.9	28873412	11815882	28873412	2916214612	4102686	2871264178	1.5413966384720934
TS047_RoL_RNA_231_1	4.9	20299404	7927498	20299404	2050239804	1335462	2019520707	1.4983172670858944
TS047_RoL_RNA_231_2	4.9	20299404	8392372	20299404	2050239804	2996803	2017550029	1.5944366574203923
TS047_RoL_RNA_258_1	4.9	26385738	9943972	26385738	2664959538	1544641	2631531842	1.2543415959360806
TS047_RoL_RNA_258_2	4.9	26385738	10607985	26385738	2664959538	3549404	2628551352	1.3661815678944091
TS047_RoL_RNA_262_1	4.9	28777383	10825943	28777383	2906515683	1616711	2870560583	1.2370516426351585
TS047_RoL_RNA_262_2	4.9	28777383	11417274	28777383	2906515683	3865019	2867307171	1.3489867689112345
TS047_RoL_RNA_286_1	4.9	25176499	9318248	25176499	2542826399	1479731	2514453576	1.1157986644765834
TS047_RoL_RNA_286_2	4.9	25176499	9861788	25176499	2542826399	3495703	2511632985	1.22672212354989
TS047_RoL_RNA_288_1	4.9	25706774	9397121	25706774	2596384174	1458621	2568631417	1.0689002528175169
TS047_RoL_RNA_288_2	4.9	25706774	10037472	25706774	2596384174	3335198	2565425116	1.1923912612787324
TS047_RoL_RNA_289_1	4.9	30352787	11223722	30352787	3065631487	1833731	3030493180	1.1462012687763081
TS047_RoL_RNA_289_2	4.9	30352787	11955623	30352787	3065631487	4257651	3027081808	1.2574792229096126
TS047_RoL_RNA_291_1	4.9	25096851	9141401	25096851	2534781951	1531872	2506510860	1.115326349426101
TS047_RoL_RNA_291_2	4.9	25096851	9979544	25096851	2534781951	3387835	2503196341	1.2460878533374093
TS047_RoL_RNA_317_1	4.9	25335689	9489620	25335689	2558904589	1674782	2527433258	1.2298751245078172
TS047_RoL_RNA_317_2	4.9	25335689	10148440	25335689	2558904589	3290986	2524757997	1.3344222425012033
TS047_RoL_RNA_318_1	4.9	26774014	9957148	26774014	2704175414	1696608	2671051678	1.2249107742239091
TS047_RoL_RNA_318_2	4.9	26774014	10718248	26774014	2704175414	3587742	2668099693	1.334074735434304
TS047_RoL_RNA_319_1	4.9	27559362	10151284	27559362	2783495562	1650201	2752671100	1.1074011548935963
TS047_RoL_RNA_319_2	4.9	27559362	10722539	27559362	2783495562	3461870	2750014525	1.2028414004706791
TS047_RoL_RNA_322_1	4.9	28929489	10633008	28929489	2921878389	1692063	2890752074	1.0652844114656272
TS047_RoL_RNA_322_2	4.9	28929489	11330942	28929489	2921878389	3678665	2887289742	1.183781198088734
TS047_RoL_RNA_326_1	4.9	24152003	9114008	24152003	2439352303	1582926	2408520991	1.2639138660734894
