Sample	Unique Reads	Duplicate Reads
TS047_RoL_RNA_262_2	7222732.0	21534536.0
TS047_RoL_RNA_286_1	7909638.0	17248813.0
TS047_RoL_RNA_286_2	7844452.0	17313999.0
TS047_RoL_RNA_288_1	7684879.0	18003314.0
TS047_RoL_RNA_288_2	7596332.0	18091861.0
TS047_RoL_RNA_289_1	8456156.0	21875319.0
TS047_RoL_RNA_289_2	8386715.0	21944760.0
TS047_RoL_RNA_291_1	8731738.0	16346326.0
TS047_RoL_RNA_291_2	8678103.0	16399961.0
TS047_RoL_RNA_317_1	6685926.0	18629760.0
TS047_RoL_RNA_317_2	6536883.0	18778803.0
TS047_RoL_RNA_318_1	7302738.0	19452565.0
TS047_RoL_RNA_318_2	7153341.0	19601962.0
TS047_RoL_RNA_319_1	7798581.0	19742838.0
TS047_RoL_RNA_319_2	7755683.0	19785736.0
TS047_RoL_RNA_322_1	7974963.0	20933769.0
TS047_RoL_RNA_322_2	7932438.0	20976294.0
TS047_RoL_RNA_326_1	7281486.0	16853305.0
TS047_RoL_RNA_326_2	7239996.0	16894795.0
TS047_RoL_RNA_328_1	8673756.0	21174844.0
TS047_RoL_RNA_328_2	8646876.0	21201724.0
TS047_RoL_RNA_347_1	6960098.0	16136909.0
TS047_RoL_RNA_347_2	6895472.0	16201535.0
TS047_RoL_RNA_355_1	5571844.0	14241365.0
TS047_RoL_RNA_355_2	5478952.0	14334257.0
TS047_RoL_RNA_377_1	5689311.0	18380510.0
TS047_RoL_RNA_377_2	5588340.0	18481481.0
TS047_RoL_RNA_381_1	6837840.0	18424837.0
TS047_RoL_RNA_381_2	6868170.0	18394507.0
TS047_RoL_RNA_407_1	5032993.0	25590507.0
TS047_RoL_RNA_407_2	4896926.0	25726574.0
TS047_RoL_RNA_412_1	6478360.0	19679416.0
TS047_RoL_RNA_412_2	6457759.0	19700017.0
TS047_RoL_RNA_439_1	6553431.0	17689152.0
TS047_RoL_RNA_439_2	6502055.0	17740528.0
TS047_RoL_RNA_442_1	7827368.0	21215890.0
TS047_RoL_RNA_442_2	7876472.0	21166786.0
TS047_RoL_RNA_468_1	7776424.0	19509334.0
TS047_RoL_RNA_468_2	7773239.0	19512519.0
TS047_RoL_RNA_469_1	7174685.0	23595861.0
TS047_RoL_RNA_469_2	7162231.0	23608315.0
TS047_RoL_RNA_46_1	3163142.0	22555057.0
TS047_RoL_RNA_46_2	3176508.0	22541691.0
TS047_RoL_RNA_477_1	9043185.0	19333241.0
TS047_RoL_RNA_477_2	9013510.0	19362916.0
TS047_RoL_RNA_478_1	7911402.0	20840794.0
TS047_RoL_RNA_478_2	7924126.0	20828070.0
TS047_RoL_RNA_498_1	8362420.0	19614795.0
TS047_RoL_RNA_498_2	8306162.0	19671053.0
TS047_RoL_RNA_500_1	7539800.0	20544769.0
TS047_RoL_RNA_500_2	7599852.0	20484717.0
TS047_RoL_RNA_502_1	7897709.0	17437784.0
TS047_RoL_RNA_502_2	7850234.0	17485259.0
TS047_RoL_RNA_506_1	7522470.0	21187736.0
TS047_RoL_RNA_506_2	7587589.0	21122617.0
TS047_RoL_RNA_51_1	7084214.0	17426808.0
TS047_RoL_RNA_51_2	7029751.0	17481271.0
TS047_RoL_RNA_526_1	7921464.0	29235048.0
TS047_RoL_RNA_526_2	7927336.0	29229176.0
TS047_RoL_RNA_528_1	8873818.0	25411872.0
TS047_RoL_RNA_528_2	8905732.0	25379958.0
TS047_RoL_RNA_530_1	7206911.0	18447305.0
TS047_RoL_RNA_530_2	7203764.0	18450452.0
TS047_RoL_RNA_532_1	7231574.0	19051674.0
TS047_RoL_RNA_532_2	7218198.0	19065050.0
TS047_RoL_RNA_559_1	5483492.0	20119563.0
TS047_RoL_RNA_559_2	5385527.0	20217528.0
TS047_RoL_RNA_561_1	7457291.0	23261501.0
TS047_RoL_RNA_561_2	7564679.0	23154113.0
TS047_RoL_RNA_562_1	6255346.0	20101539.0
TS047_RoL_RNA_562_2	6200812.0	20156073.0
TS047_RoL_RNA_586_1	4419015.0	18160911.0
TS047_RoL_RNA_586_2	4386131.0	18193795.0
TS047_RoL_RNA_616_1	4340772.0	17087285.0
TS047_RoL_RNA_616_2	4275462.0	17152595.0
TS047_RoL_RNA_618_1	5636760.0	22668583.0
TS047_RoL_RNA_618_2	5649386.0	22655957.0
TS047_RoL_RNA_646_1	6357906.0	16455054.0
TS047_RoL_RNA_646_2	6353829.0	16459131.0
TS047_RoL_RNA_651_1	6765670.0	20625974.0
