Sample	Unique Reads	Duplicate Reads
TS047_RoL_RNA_328_2	8674825.0	21196236.0
TS047_RoL_RNA_347_1	6967114.0	16145876.0
TS047_RoL_RNA_347_2	6915927.0	16197063.0
TS047_RoL_RNA_355_1	5579462.0	14252468.0
TS047_RoL_RNA_355_2	5498650.0	14333280.0
TS047_RoL_RNA_377_1	5700473.0	18387368.0
TS047_RoL_RNA_377_2	5611522.0	18476319.0
TS047_RoL_RNA_381_1	6847207.0	18433465.0
TS047_RoL_RNA_381_2	6889999.0	18390673.0
TS047_RoL_RNA_407_1	5043016.0	25602286.0
TS047_RoL_RNA_407_2	4919797.0	25725505.0
TS047_RoL_RNA_412_1	6485010.0	19689880.0
TS047_RoL_RNA_412_2	6477792.0	19697098.0
TS047_RoL_RNA_439_1	6559775.0	17701674.0
TS047_RoL_RNA_439_2	6521356.0	17740093.0
TS047_RoL_RNA_442_1	7837291.0	21228093.0
TS047_RoL_RNA_442_2	7903906.0	21161478.0
TS047_RoL_RNA_468_1	7787243.0	19516849.0
TS047_RoL_RNA_468_2	7794250.0	19509842.0
TS047_RoL_RNA_469_1	7185759.0	23609802.0
TS047_RoL_RNA_469_2	7191618.0	23603943.0
TS047_RoL_RNA_46_1	3168479.0	22566976.0
TS047_RoL_RNA_46_2	3189277.0	22546178.0
TS047_RoL_RNA_477_1	9051826.0	19345552.0
TS047_RoL_RNA_477_2	9036177.0	19361201.0
TS047_RoL_RNA_478_1	7921201.0	20851877.0
TS047_RoL_RNA_478_2	7949425.0	20823653.0
TS047_RoL_RNA_498_1	8369706.0	19627666.0
TS047_RoL_RNA_498_2	8331684.0	19665688.0
TS047_RoL_RNA_500_1	7548264.0	20553844.0
TS047_RoL_RNA_500_2	7616380.0	20485728.0
TS047_RoL_RNA_502_1	7905445.0	17449167.0
TS047_RoL_RNA_502_2	7873132.0	17481480.0
TS047_RoL_RNA_506_1	7533305.0	21201038.0
TS047_RoL_RNA_506_2	7617713.0	21116630.0
TS047_RoL_RNA_51_1	7091468.0	17438000.0
TS047_RoL_RNA_51_2	7052346.0	17477122.0
TS047_RoL_RNA_526_1	7930042.0	29253446.0
TS047_RoL_RNA_526_2	7956848.0	29226640.0
TS047_RoL_RNA_528_1	8883568.0	25427261.0
TS047_RoL_RNA_528_2	8935648.0	25375181.0
TS047_RoL_RNA_530_1	7213360.0	18459406.0
TS047_RoL_RNA_530_2	7225112.0	18447654.0
TS047_RoL_RNA_532_1	7239994.0	19060124.0
TS047_RoL_RNA_532_2	7239937.0	19060181.0
TS047_RoL_RNA_559_1	5491298.0	20130486.0
TS047_RoL_RNA_559_2	5405645.0	20216139.0
TS047_RoL_RNA_561_1	7465871.0	23276490.0
TS047_RoL_RNA_561_2	7590882.0	23151479.0
TS047_RoL_RNA_562_1	6262832.0	20115071.0
TS047_RoL_RNA_562_2	6222806.0	20155097.0
TS047_RoL_RNA_586_1	4425783.0	18174615.0
TS047_RoL_RNA_586_2	4408092.0	18192306.0
TS047_RoL_RNA_616_1	4347592.0	17094597.0
TS047_RoL_RNA_616_2	4290876.0	17151313.0
TS047_RoL_RNA_618_1	5644522.0	22681821.0
TS047_RoL_RNA_618_2	5669613.0	22656730.0
TS047_RoL_RNA_646_1	6363866.0	16466030.0
TS047_RoL_RNA_646_2	6370694.0	16459202.0
TS047_RoL_RNA_651_1	6772015.0	20639074.0
TS047_RoL_RNA_651_2	6776473.0	20634616.0
TS047_RoL_RNA_652_1	6454257.0	15232244.0
TS047_RoL_RNA_652_2	6451400.0	15235101.0
TS047_RoL_RNA_655_1	6277323.0	21712449.0
TS047_RoL_RNA_655_2	6388879.0	21600893.0
TS047_RoL_RNA_676_1	6497189.0	18251548.0
TS047_RoL_RNA_676_2	6566577.0	18182160.0
TS047_RoL_RNA_677_1	6738420.0	17223663.0
TS047_RoL_RNA_677_2	6845774.0	17116309.0
TS047_RoL_RNA_678_1	6530367.0	17419712.0
TS047_RoL_RNA_678_2	6560721.0	17389358.0
TS047_RoL_RNA_679_1	6798893.0	19252912.0
TS047_RoL_RNA_679_2	6779256.0	19272549.0
TS047_RoL_RNA_683_1	5525931.0	14665437.0
TS047_RoL_RNA_683_2	5574671.0	14616697.0
TS047_RoL_RNA_707_1	7798329.0	18726410.0
TS047_RoL_RNA_707_2	7767460.0	18757279.0
TS047_RoL_RNA_708_1	8418621.0	25313652.0
TS047_RoL_RNA_708_2	8531405.0	25200868.0
TS047_RoL_RNA_710_1	6725500.0	19769610.0
TS047_RoL_RNA_710_2	6863187.0	19631923.0
TS047_RoL_RNA_79_1	5869308.0	18898765.0
TS047_RoL_RNA_79_2	5842277.0	18925796.0
TS047_RoL_RNA_85_1	4514455.0	22640256.0
TS047_RoL_RNA_85_2	4525535.0	22629176.0
