.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
TS047_RoL_RNA_618_2	1	1	0.5	1	0.25	0.5	1	0.5	0.25	0.5	1
TS047_RoL_RNA_646_1	1	1	0.5	1	0.25	0.5	1	0.5	0.25	1	1
TS047_RoL_RNA_646_2	1	1	0.5	1	0.25	0.5	1	0.5	0.25	1	1
TS047_RoL_RNA_651_1	1	1	0.5	1	0.25	0.5	1	0.5	0.25	1	1
TS047_RoL_RNA_651_2	1	1	0.5	1	0.25	0.5	1	0.5	0.25	1	1
TS047_RoL_RNA_652_1	1	1	0.5	1	0.25	0.5	1	0.5	0.25	1	1
TS047_RoL_RNA_652_2	1	1	0.5	1	0.25	0.5	1	0.5	0.25	1	1
TS047_RoL_RNA_655_1	1	1	0.5	1	0.25	0.5	1	0.5	0.25	1	1
TS047_RoL_RNA_655_2	1	1	0.5	1	0.25	0.5	1	0.5	0.25	1	1
TS047_RoL_RNA_676_1	1	1	0.5	1	0.25	0.25	1	0.5	0.25	1	1
TS047_RoL_RNA_676_2	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.5	1
TS047_RoL_RNA_677_1	1	1	0.5	1	0.25	0.5	1	0.5	0.25	1	1
TS047_RoL_RNA_677_2	1	1	0.25	1	0.25	0.5	1	0.5	0.25	1	1
TS047_RoL_RNA_678_1	1	1	0.5	1	0.25	0.5	1	0.5	0.25	1	1
TS047_RoL_RNA_678_2	1	1	0.5	1	0.25	0.5	1	0.5	0.25	1	1
TS047_RoL_RNA_679_1	1	1	0.5	1	0.25	0.5	1	0.5	0.25	1	1
TS047_RoL_RNA_679_2	1	1	0.25	1	0.25	0.5	1	0.5	0.25	1	1
TS047_RoL_RNA_683_1	1	1	0.25	1	0.25	0.5	1	0.5	0.25	1	1
TS047_RoL_RNA_683_2	1	1	0.25	1	0.25	0.5	1	0.5	0.25	1	1
TS047_RoL_RNA_707_1	1	1	0.5	1	0.25	0.5	1	0.5	0.25	1	1
TS047_RoL_RNA_707_2	1	1	0.5	1	0.25	0.5	1	0.5	0.25	1	1
TS047_RoL_RNA_708_1	1	1	0.5	1	0.25	0.5	1	0.5	0.25	1	1
TS047_RoL_RNA_708_2	1	1	0.5	1	0.25	0.5	1	0.5	0.25	1	1
TS047_RoL_RNA_710_1	1	1	0.5	1	0.25	0.5	1	0.5	0.25	1	1
TS047_RoL_RNA_710_2	1	1	0.5	1	0.25	0.5	1	0.5	0.25	1	1
TS047_RoL_RNA_79_1	1	1	0.5	1	0.25	0.5	1	0.5	0.25	1	1
TS047_RoL_RNA_79_2	1	1	0.5	1	0.25	0.5	1	0.5	0.25	1	1
TS047_RoL_RNA_85_1	1	1	0.5	1	0.25	0.5	1	0.5	0.25	1	1
TS047_RoL_RNA_85_2	1	1	0.5	1	0.25	0.5	1	0.5	0.25	1	1
