Sample	salmon_version	samp_type	opt_type	quant_errors	num_libraries	library_types	frag_dist_length	frag_length_mean	frag_length_sd	seq_bias_correct	gc_bias_correct	num_bias_bins	mapping_type	keep_duplicates	num_valid_targets	num_decoy_targets	num_eq_classes	serialized_eq_classes	eq_class_properties	length_classes	index_seq_hash	index_name_hash	index_seq_hash512	index_name_hash512	index_decoy_seq_hash	index_decoy_name_hash	num_bootstraps	num_processed	num_mapped	num_decoy_fragments	num_dovetail_fragments	num_fragments_filtered_vm	num_alignments_below_threshold_for_mapped_fragments_vm	percent_mapped	call	start_time	end_time
TS047_RoL_RNA_170	1.10.3	none	vb	[]	1	['ISR']	1001	183.86903856712092	70.77630959849722	False	False	4096	mapping	False	121117	26	95508	False	['range_factorized', 'gzipped']	[1540, 2492, 3611, 5261, 93139]	4cdb021ef27a990175985add0accb3f7e5b2d2bb37986674c4e4f50802d0793b	fdc6baad09122ebb2ca5080ce760e19fd65a9c4faa64af4f429325ee4448e3f2	e26b010782ac99674f527f0645803e17a54941047934a974734881b683125ffce6fef3c56315c6eab3260402769dd3ac181d58a1bdb3a46ec91afa6e92d74a71	a5047c9e5fa06112a62dcadc38b359aa777e749a3762adf7522607253e9ae6c1f8e86e3031b602363d403a4fddeac4789f486a3554aa17faceee5632120e488a	ae982e5d6578908fcb22a758582cac09bc51527cb539ebc6400a279cffb679b8	cf64a3f444904ffcad1675fd35f0f8c74e6ac44f219ec30e1fe87f9b87ce5fad	0	25825403	22859175	1014629	153877	1453972	14477080	88.51430120954937	quant	Fri May 16 00:30:29 2025	Fri May 16 00:40:09 2025
TS047_RoL_RNA_175	1.10.3	none	vb	[]	1	['ISR']	1001	181.14728387024465	70.59117873274447	False	False	4096	mapping	False	121117	26	97616	False	['range_factorized', 'gzipped']	[1540, 2492, 3611, 5261, 93139]	4cdb021ef27a990175985add0accb3f7e5b2d2bb37986674c4e4f50802d0793b	fdc6baad09122ebb2ca5080ce760e19fd65a9c4faa64af4f429325ee4448e3f2	e26b010782ac99674f527f0645803e17a54941047934a974734881b683125ffce6fef3c56315c6eab3260402769dd3ac181d58a1bdb3a46ec91afa6e92d74a71	a5047c9e5fa06112a62dcadc38b359aa777e749a3762adf7522607253e9ae6c1f8e86e3031b602363d403a4fddeac4789f486a3554aa17faceee5632120e488a	ae982e5d6578908fcb22a758582cac09bc51527cb539ebc6400a279cffb679b8	cf64a3f444904ffcad1675fd35f0f8c74e6ac44f219ec30e1fe87f9b87ce5fad	0	25402115	22105571	1078579	169727	1479954	13732305	87.02256091667958	quant	Fri May 16 00:30:30 2025	Fri May 16 00:40:08 2025
TS047_RoL_RNA_177	1.10.3	none	vb	[]	1	['ISR']	1001	183.7762259384831	72.3352013442185	False	False	4096	mapping	False	121117	26	124440	False	['range_factorized', 'gzipped']	[1540, 2492, 3611, 5261, 93139]	4cdb021ef27a990175985add0accb3f7e5b2d2bb37986674c4e4f50802d0793b	fdc6baad09122ebb2ca5080ce760e19fd65a9c4faa64af4f429325ee4448e3f2	e26b010782ac99674f527f0645803e17a54941047934a974734881b683125ffce6fef3c56315c6eab3260402769dd3ac181d58a1bdb3a46ec91afa6e92d74a71	a5047c9e5fa06112a62dcadc38b359aa777e749a3762adf7522607253e9ae6c1f8e86e3031b602363d403a4fddeac4789f486a3554aa17faceee5632120e488a	ae982e5d6578908fcb22a758582cac09bc51527cb539ebc6400a279cffb679b8	cf64a3f444904ffcad1675fd35f0f8c74e6ac44f219ec30e1fe87f9b87ce5fad	0	24104479	21297466	919059	167039	1308976	14388782	88.35480741981604	quant	Fri May 16 00:13:42 2025	Fri May 16 00:19:36 2025
TS047_RoL_RNA_20	1.10.3	none	vb	[]	1	['ISR']	1001	176.83996004153352	69.11941046085232	False	False	4096	mapping	False	121117	26	104362	False	['range_factorized', 'gzipped']	[1540, 2492, 3611, 5261, 93139]	4cdb021ef27a990175985add0accb3f7e5b2d2bb37986674c4e4f50802d0793b	fdc6baad09122ebb2ca5080ce760e19fd65a9c4faa64af4f429325ee4448e3f2	e26b010782ac99674f527f0645803e17a54941047934a974734881b683125ffce6fef3c56315c6eab3260402769dd3ac181d58a1bdb3a46ec91afa6e92d74a71	a5047c9e5fa06112a62dcadc38b359aa777e749a3762adf7522607253e9ae6c1f8e86e3031b602363d403a4fddeac4789f486a3554aa17faceee5632120e488a	ae982e5d6578908fcb22a758582cac09bc51527cb539ebc6400a279cffb679b8	cf64a3f444904ffcad1675fd35f0f8c74e6ac44f219ec30e1fe87f9b87ce5fad	0	28413636	24885095	1196182	201176	1644911	16975843	87.5815224774471	quant	Fri May 16 00:13:42 2025	Fri May 16 00:20:42 2025
TS047_RoL_RNA_200	1.10.3	none	vb	[]	1	['ISR']	1001	180.31070088036427	71.91063116508886	False	False	4096	mapping	False	121117	26	107513	False	['range_factorized', 'gzipped']	[1540, 2492, 3611, 5261, 93139]	4cdb021ef27a990175985add0accb3f7e5b2d2bb37986674c4e4f50802d0793b	fdc6baad09122ebb2ca5080ce760e19fd65a9c4faa64af4f429325ee4448e3f2	e26b010782ac99674f527f0645803e17a54941047934a974734881b683125ffce6fef3c56315c6eab3260402769dd3ac181d58a1bdb3a46ec91afa6e92d74a71	a5047c9e5fa06112a62dcadc38b359aa777e749a3762adf7522607253e9ae6c1f8e86e3031b602363d403a4fddeac4789f486a3554aa17faceee5632120e488a	ae982e5d6578908fcb22a758582cac09bc51527cb539ebc6400a279cffb679b8	cf64a3f444904ffcad1675fd35f0f8c74e6ac44f219ec30e1fe87f9b87ce5fad	0	34339109	30157544	1413627	310675	1944730	18765741	87.82273296607667	quant	Fri May 16 00:30:30 2025	Fri May 16 00:42:01 2025
TS047_RoL_RNA_204	1.10.3	none	vb	[]	1	['ISR']	1001	173.54176591725107	67.64932082342783	False	False	4096	mapping	False	121117	26	94751	False	['range_factorized', 'gzipped']	[1540, 2492, 3611, 5261, 93139]	4cdb021ef27a990175985add0accb3f7e5b2d2bb37986674c4e4f50802d0793b	fdc6baad09122ebb2ca5080ce760e19fd65a9c4faa64af4f429325ee4448e3f2	e26b010782ac99674f527f0645803e17a54941047934a974734881b683125ffce6fef3c56315c6eab3260402769dd3ac181d58a1bdb3a46ec91afa6e92d74a71	a5047c9e5fa06112a62dcadc38b359aa777e749a3762adf7522607253e9ae6c1f8e86e3031b602363d403a4fddeac4789f486a3554aa17faceee5632120e488a	ae982e5d6578908fcb22a758582cac09bc51527cb539ebc6400a279cffb679b8	cf64a3f444904ffcad1675fd35f0f8c74e6ac44f219ec30e1fe87f9b87ce5fad	0	23352113	19954748	1142415	158821	1504267	15029800	85.45157348287927	quant	Fri May 16 00:30:30 2025	Fri May 16 00:40:10 2025
TS047_RoL_RNA_229	1.10.3	none	vb	[]	1	['ISR']	1001	167.68386740118956	62.09710181641437	False	False	4096	mapping	False	121117	26	99527	False	['range_factorized', 'gzipped']	[1540, 2492, 3611, 5261, 93139]	4cdb021ef27a990175985add0accb3f7e5b2d2bb37986674c4e4f50802d0793b	fdc6baad09122ebb2ca5080ce760e19fd65a9c4faa64af4f429325ee4448e3f2	e26b010782ac99674f527f0645803e17a54941047934a974734881b683125ffce6fef3c56315c6eab3260402769dd3ac181d58a1bdb3a46ec91afa6e92d74a71	a5047c9e5fa06112a62dcadc38b359aa777e749a3762adf7522607253e9ae6c1f8e86e3031b602363d403a4fddeac4789f486a3554aa17faceee5632120e488a	ae982e5d6578908fcb22a758582cac09bc51527cb539ebc6400a279cffb679b8	cf64a3f444904ffcad1675fd35f0f8c74e6ac44f219ec30e1fe87f9b87ce5fad	0	28849949	25836533	1032656	150756	1417444	16819649	89.55486541761304	quant	Fri May 16 00:30:30 2025	Fri May 16 00:40:48 2025
TS047_RoL_RNA_231	1.10.3	none	vb	[]	1	['ISR']	1001	170.66351432238147	67.94716358348256	False	False	4096	mapping	False	121117	26	91043	False	['range_factorized', 'gzipped']	[1540, 2492, 3611, 5261, 93139]	4cdb021ef27a990175985add0accb3f7e5b2d2bb37986674c4e4f50802d0793b	fdc6baad09122ebb2ca5080ce760e19fd65a9c4faa64af4f429325ee4448e3f2	e26b010782ac99674f527f0645803e17a54941047934a974734881b683125ffce6fef3c56315c6eab3260402769dd3ac181d58a1bdb3a46ec91afa6e92d74a71	a5047c9e5fa06112a62dcadc38b359aa777e749a3762adf7522607253e9ae6c1f8e86e3031b602363d403a4fddeac4789f486a3554aa17faceee5632120e488a	ae982e5d6578908fcb22a758582cac09bc51527cb539ebc6400a279cffb679b8	cf64a3f444904ffcad1675fd35f0f8c74e6ac44f219ec30e1fe87f9b87ce5fad	0	20283997	16528323	1136282	170121	1470693	14027871	81.48454666010846	quant	Fri May 16 00:30:28 2025	Fri May 16 00:39:30 2025
TS047_RoL_RNA_258	1.10.3	none	vb	[]	1	['ISR']	1001	178.45748155387963	71.91038890181864	False	False	4096	mapping	False	121117	26	105318	False	['range_factorized', 'gzipped']	[1540, 2492, 3611, 5261, 93139]	4cdb021ef27a990175985add0accb3f7e5b2d2bb37986674c4e4f50802d0793b	fdc6baad09122ebb2ca5080ce760e19fd65a9c4faa64af4f429325ee4448e3f2	e26b010782ac99674f527f0645803e17a54941047934a974734881b683125ffce6fef3c56315c6eab3260402769dd3ac181d58a1bdb3a46ec91afa6e92d74a71	a5047c9e5fa06112a62dcadc38b359aa777e749a3762adf7522607253e9ae6c1f8e86e3031b602363d403a4fddeac4789f486a3554aa17faceee5632120e488a	ae982e5d6578908fcb22a758582cac09bc51527cb539ebc6400a279cffb679b8	cf64a3f444904ffcad1675fd35f0f8c74e6ac44f219ec30e1fe87f9b87ce5fad	0	26366305	22608855	1203157	238509	1644132	19400110	85.74904598881034	quant	Fri May 16 00:30:31 2025	Fri May 16 00:40:24 2025
TS047_RoL_RNA_262	1.10.3	none	vb	[]	1	['ISR']	1001	179.30337381971538	71.36954076730188	False	False	4096	mapping	False	121117	26	98580	False	['range_factorized', 'gzipped']	[1540, 2492, 3611, 5261, 93139]	4cdb021ef27a990175985add0accb3f7e5b2d2bb37986674c4e4f50802d0793b	fdc6baad09122ebb2ca5080ce760e19fd65a9c4faa64af4f429325ee4448e3f2	e26b010782ac99674f527f0645803e17a54941047934a974734881b683125ffce6fef3c56315c6eab3260402769dd3ac181d58a1bdb3a46ec91afa6e92d74a71	a5047c9e5fa06112a62dcadc38b359aa777e749a3762adf7522607253e9ae6c1f8e86e3031b602363d403a4fddeac4789f486a3554aa17faceee5632120e488a	ae982e5d6578908fcb22a758582cac09bc51527cb539ebc6400a279cffb679b8	cf64a3f444904ffcad1675fd35f0f8c74e6ac44f219ec30e1fe87f9b87ce5fad	0	28757268	25274582	1175740	199405	1590054	15449628	87.88937113219517	quant	Fri May 16 00:30:31 2025	Fri May 16 00:41:01 2025
