Sample	Reads passing filters
TS047_RoL_RNA_477_2	28397378.0
TS047_RoL_RNA_478_1	28773078.0
TS047_RoL_RNA_478_2	28773078.0
TS047_RoL_RNA_498_1	27997372.0
TS047_RoL_RNA_498_2	27997372.0
TS047_RoL_RNA_500_1	28102108.0
TS047_RoL_RNA_500_2	28102108.0
TS047_RoL_RNA_502_1	25354612.0
TS047_RoL_RNA_502_2	25354612.0
TS047_RoL_RNA_506_1	28734343.0
TS047_RoL_RNA_506_2	28734343.0
TS047_RoL_RNA_51_1	24529468.0
TS047_RoL_RNA_51_2	24529468.0
TS047_RoL_RNA_526_1	37183488.0
TS047_RoL_RNA_526_2	37183488.0
TS047_RoL_RNA_528_1	34310829.0
TS047_RoL_RNA_528_2	34310829.0
TS047_RoL_RNA_530_1	25672766.0
TS047_RoL_RNA_530_2	25672766.0
TS047_RoL_RNA_532_1	26300118.0
TS047_RoL_RNA_532_2	26300118.0
TS047_RoL_RNA_559_1	25621784.0
TS047_RoL_RNA_559_2	25621784.0
TS047_RoL_RNA_561_1	30742361.0
TS047_RoL_RNA_561_2	30742361.0
TS047_RoL_RNA_562_1	26377903.0
TS047_RoL_RNA_562_2	26377903.0
TS047_RoL_RNA_586_1	22600398.0
TS047_RoL_RNA_586_2	22600398.0
TS047_RoL_RNA_616_1	21442189.0
TS047_RoL_RNA_616_2	21442189.0
TS047_RoL_RNA_618_1	28326343.0
TS047_RoL_RNA_618_2	28326343.0
TS047_RoL_RNA_646_1	22829896.0
TS047_RoL_RNA_646_2	22829896.0
TS047_RoL_RNA_651_1	27411089.0
TS047_RoL_RNA_651_2	27411089.0
TS047_RoL_RNA_652_1	21686501.0
TS047_RoL_RNA_652_2	21686501.0
TS047_RoL_RNA_655_1	27989772.0
TS047_RoL_RNA_655_2	27989772.0
TS047_RoL_RNA_676_1	24748737.0
TS047_RoL_RNA_676_2	24748737.0
TS047_RoL_RNA_677_1	23962083.0
TS047_RoL_RNA_677_2	23962083.0
TS047_RoL_RNA_678_1	23950079.0
TS047_RoL_RNA_678_2	23950079.0
TS047_RoL_RNA_679_1	26051805.0
TS047_RoL_RNA_679_2	26051805.0
TS047_RoL_RNA_683_1	20191368.0
TS047_RoL_RNA_683_2	20191368.0
TS047_RoL_RNA_707_1	26524739.0
TS047_RoL_RNA_707_2	26524739.0
TS047_RoL_RNA_708_1	33732273.0
TS047_RoL_RNA_708_2	33732273.0
TS047_RoL_RNA_710_1	26495110.0
TS047_RoL_RNA_710_2	26495110.0
TS047_RoL_RNA_79_1	24768073.0
TS047_RoL_RNA_79_2	24768073.0
TS047_RoL_RNA_85_1	27154711.0
TS047_RoL_RNA_85_2	27154711.0
