feature	Oleiharenicola	Nitrosomonas	Coxiella	Geobacillus	Candidatus_Megaira	Planifilum	Luteimonas	Hyphomicrobiales_Incertae_Sedis_Genus	Legionella	Pseudorhodoplanes	Blastococcus	Parachlamydiaceae_Genus	Pedosphaeraceae_Genus	Phreatobacter	Fluviicoccus	Caulobacter	Candidatus_Paracaedibacter	Dechloromonas	Rickettsiaceae_Genus	Chitinophagales_Genus	Culicoidibacter	Mycobacterium	Clostridium	KD3.93_Genus	Pseudoxanthomonas	Gammaproteobacteria_Genus	Burkholderiales_Genus	SWB02	Noviherbaspirillum	Crenobacter	Gemmata	X37.13_Genus	Haliangiaceae_Genus	Paracaedibacteraceae_Genus	Lutispora	Beijerinckiaceae_Genus	Comamonadaceae_Genus	Piscinibacter	Nitrospira	Hirschia	Rhodococcus	Frankiales_Genus	Pseudobdellovibrionaceae_Genus	Phaselicystis	Roseomonas	Aeromonas	env.OPS_17_Genus	Pseudomonas	Pedomicrobium	Reyranella	JGI_0001001.H03	Obscuribacteraceae_Genus	Rhodocyclaceae_Genus	Candidatus_Bealeia	Luteolibacter	Hyphomicrobiales_Genus	Cytophagales_Genus	Cetobacterium	Gemmataceae_Genus	Bradyrhizobium	Aquihabitans	Enterobacterales_Genus	Micrococcus	Arthrobacter	Sphingorhabdus	SH.PL14	Planctomycetes_Genus	Candidatus_Obscuribacter	Paracoccaceae_Genus	Gemmobacter	Nocardioides	Lysobacter	Hassallia	Bacillota_Genus	Terrimonas	Leuconostoc	Altererythrobacter	Blastocatellaceae_Genus	SM1A02	Pirellula	Burkholderia.Caballeronia.Paraburkholderia	bacteriap25_Genus	Brevifollis	Granulosicoccus	Pajaroellobacter	IS.44	Bacteroidia_Genus	Sphaerotilus	Sandaracinaceae_Genus	Marmoricola	Emticicia	NS9_marine_group_Genus	Hyphomicrobium	Cytophaga	Gracilibacteria_Genus	Verrucomicrobiaceae_Genus	Candidatus_Protochlamydia	Prosthecomicrobium	Armatimonadaceae_Genus	Anaerovorax	Alphaproteobacteria_Genus	Microscillaceae_Genus	Paludibaculum	Candidatus_Jidaibacter	NS11.12_marine_group_Genus	Xanthobacteraceae_Genus	Vampirovibrionaceae_Genus	Nocardia	Flavobacterium	P3OB.42	Devosia	Saprospiraceae_Genus	Staphylococcus	Leeia	Chlamydiales_Genus	Microtrichaceae_Genus	Ensifer	Paucibacter	Telmatocola	Rhizobium	Agitococcus	Paenirhodobacter	Opitutaceae_Genus	Novosphingobium	Pseudomonadota_Genus	Candidatus_Berkiella	Pseudobdellovibrio	Chitinibacter	Sphingomonas	Polyangiia_Genus	Roseicella	A21b_Genus	Moraxellaceae_Genus	Gaiellales_Genus	Shinella	Sutterellaceae_Genus	Fluviicola	Niveibacterium	Vibrionaceae_Genus	Exiguobacterium	AAP99	SM2D12_Genus	Babeliaceae_Genus	Turicibacter	Chitinilyticum	Fimbriiglobus	Acinetobacter	BIrii41_Genus	Eremiobacteria_Genus	Stagnimonas	Vibrio	Bdellovibrio	Streptococcus	Candidatus_Ovatusbacter	Shewanella	Bryobacteraceae_Genus	X11.24_Genus	Dinghuibacter	Runella	Truepera	Fusobacteriaceae_Genus	Sphingomonadaceae_Genus	Abditibacterium	Candidatus_Alysiosphaera	X0319.6G20_Genus	Oligoflexaceae_Genus	Rhizorhapis	Ahniella	Rubrivivax	Neochlamydia	Blfdi19_Genus	Lineage_IIc_Genus	Chryseotalea	Ga0077536_Genus	Verrucomicrobiia_Genus	Elstera	Phenylobacterium	Pasteurella	Kineosporiaceae_Genus	Microtrichales_Genus	Paracoccus	Sphingopyxis	Rhizobiaceae_Genus	cvE6_Genus	Pseudoduganella	Pir4_lineage	Agromyces	Planctomycetota_Genus	mle1.27_Genus	IMCC26207	Dyadobacter	Caedibacter	Brevundimonas	Thermoleophilia_Genus	Thermoanaerobacterium	Bosea	MBNT15_Genus	LiUU.11.161_Genus	Undibacterium	Stella	Neisseriaceae_Genus	OM190_Genus	TM7a	Pectobacteriaceae_Genus	Parvibium	Afipia	Pseudolysobacter	Cellvibrio	Lactobacillus	WY65	Chryseobacterium	Glutamicibacter	Vicinamibacteraceae_Genus	Sediminibacterium	alphaI_cluster	Vampirovibrionales_Genus	Chitinophagaceae_Genus	Kapabacteriales_Genus	Chlamydiaceae_Genus	Actinobacteria_Genus	Gordonia	Alicyclobacillus	LWQ8_Genus	Fimbriimonadaceae_Genus	Gemmatimonas	TRA3.20_Genus	Bacilli_Genus	Tundrisphaera	KD4.96_Genus	Curvibacter	Caldilineaceae_Genus	PMMR1	OLB17	Thermoactinomyces	Flavihumibacter	Anaerocolumna	Micavibrionales_Genus	Longivirga	Rhodospirillales_Genus	Bacillus	Deinococcus	Holosporaceae_Genus	Pontibacter	SH3.11	Kineococcus	Sphingobium	CL500.3	Ruminiclostridium	Aquabacterium	Myxococcaceae_Genus	Marinomonas	Barnesiellaceae_Genus	X67.14_Genus	Pyrinomonadaceae_Genus	Nevskiaceae_Genus	Variovorax	Aerococcaceae_Genus	Blastocatella	CSP1.2	Ottowia	Serinicoccus	Oscillospiraceae_Genus	Stenotrophomonas	Sandaracinus	Opitutus	Malacoplasma	AKYH767_Genus	Blastomonas	X28.YEA.48	PeM15_Genus	Cypionkella	Thermodesulfobacteriota_Genus	Nordella	Cloacibacterium	Allomeiothermus	Paraconexibacter	Defluviimonas	JG30.KF.CM45_Genus	Rhodovastum	Methylorubrum	Massilia	Thermomicrobiales_Genus	Solirubrobacterales_Genus	Paraclostridium	Alcaligenaceae_Genus	Schlesneria	Pseudomonadales_Genus	Candidatus_Captivus	Brevitalea	Sporichthyaceae_Genus	Enterococcus	Psychromonas	Gemmatimonadaceae_Genus	Rubritaleaceae_Genus	oc32	Lactobacillaceae_Genus	Campylobacterales_Genus	DEV114	Simkaniaceae_Genus	RBG.13.54.9_Genus	Plesiomonas	Arthrospira_PCC.7345	Ferruginibacter	Lactococcus	Anoxybacillus	OLB12	Thermus	Rheinheimera	Sporomusaceae_Genus	Acidiferrimicrobium	Rhodospirillaceae_Genus	Mediterraneibacter	Raineya	NB1.j_Genus	Rickettsia	Rhodopseudomonas	Vampirovibrio	Acidovorax	Kocuria	Polyangiales_Genus	Elsteraceae_Genus	Methyloligellaceae_Genus	Mesorhizobium	Pseudorhizobium	Mariniblastus	Azospira	Nannocystis	Isosphaeraceae_Genus	Fuscovulum	Aureimonas	Turneriella	Polyangiaceae_Genus	Permianibacter	Geodermatophilus	Hyphomonadaceae_Genus	Delftia	Steroidobacter	Actinoplanes	Corynebacterium	Lysobacteraceae_Genus	Latilactobacillus	Parcubacteria_Genus	Flectobacillus	Desulfotomaculum	KD3.10	Pedobacter	Anaerospora	Thermobrachium	Peptostreptococcaceae_Genus	Romboutsia	Babeliales_Genus	Enhydrobacter	Aeromicrobium	Methyloversatilis	Bordetella	Haliscomenobacter	SD04E11	Acidibacter	Hydrogenophaga	Kinneretia	Panacibacter	Thermoactinomycetaceae_Genus	Methylibium	Perlucidibaca	Aurantisolimonas	Anaerotaenia	DSSD61	Vogesella	CL500.29_marine_group	Pirellulaceae_Genus
f229	113	227	23	0	0	0	366	301	42	29	0	18	575	850	0	0	11	967	3	0	15	532	174	3	9	254	15	129	0	587	126	0	2106	14	0	70	821	0	234	41	0	0	121	0	62	18784	586	1154	144	47	0	27	3	0	0	10	506	1301	44	55	3	0	0	0	163	14	0	57	2318	429	0	9	527	0	0	0	0	0	4	69	0	0	35	0	122	0	283	78	6	0	357	79	17	12	26	9	0	0	0	0	30	377	0	5	4	0	0	4780	227	12	88	929	0	119	6	0	15	849	127	113	95	224	18	45	2	0	10	0	0	2	0	0	0	3	0	67	127	468	0	0	69	11	0	0	96	143	0	73	10	0	0	64	0	0	0	6	164	153	44	0	0	0	0	6	40	4	5	0	0	0	10	6	638	21	0	113	0	0	18	8	0	0	180	0	5	11	0	0	0	0	0	0	0	0	0	124	3	0	1576	0	0	599	39	0	0	0	9	610	0	15	0	0	36	48	0	0	2	6	0	0	76	0	0	0	14	0	0	617	0	23	8	0	0	0	0	0	5	31	0	21	0	0	0	78	0	4	0	0	1319	0	2	0	0	0	0	0	0	11	0	0	0	7	0	0	13	4	51	0	0	7	54	8	0	93	0	2	0	25	19	2	0	0	0	0	0	3	0	5	0	0	0	0	23	0	16	0	0	0	0	0	93	0	236	0	0	12	0	6	22	0	0	0	0	0	21	0	0	125	0	0	0	0	7	0	0	0	31	0	261	0	31	0	19	0	14	0	15	0	0	15	0	29	0	0	0	0	0	0	0	0	0	0	4	0	0	958	0	0	0	0	3	0	11	0	78	0	4	0	0	0
f230	0	0	0	0	0	0	0	0	0	0	0	0	0	108	0	0	0	12	0	0	10	14	10	0	0	22	0	0	0	209	0	0	0	0	0	10	0	0	0	0	0	0	2	0	0	65342	0	725	0	0	0	0	0	0	0	0	0	161	0	0	2	0	0	0	0	0	0	0	112	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	23	0	0	0	0	0	0	0	0	337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	9	25	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f256	0	0	0	0	0	0	19	45	0	0	0	10	26	1160	0	42	0	970	0	0	15	65	1349	0	0	1169	16	0	0	1980	0	0	6	0	0	35	2	0	0	0	0	0	0	0	66	39783	0	5664	0	10	0	0	0	0	12	5	0	3799	0	0	0	0	0	0	0	0	0	11	638	312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	5	0	2055	7	0	0	164	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	3916	0	0	0	0	0	0	415	0	226	6	0	0	0	2	0	0	175	0	4	18	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	6	4	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	25	0	0	5	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	120	0	0	0	0	0	0	0	0	0	24	0	0	5	0	0	0	0	0	0	7	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	8	31	0	0	740	0	0	0	18	15	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	169	0	0	0	0	0
f257	0	0	0	0	0	0	9	0	3	0	15	0	0	71	0	0	0	305	0	0	5	6	5	0	0	130	4	0	0	178	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	59361	0	3318	4	0	0	0	0	0	0	0	8	279	2	0	0	2	0	0	3	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	48	0	0	0	0	562	4	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2820	0	0	0	0	0	0	1171	2	74	0	3	0	0	0	10	0	29	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	15	0	16	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	54	0	0	0	0	0	0	0	0	13	3	0	0	0	5	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	19	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f258	0	0	0	0	2	0	9	21	0	5	0	0	0	440	0	11	0	430	0	0	16	11	109	0	0	907	0	0	0	930	0	0	0	0	0	29	0	0	0	0	0	0	0	0	21	47993	0	4338	17	0	0	0	0	0	0	6	0	11316	0	0	6	0	0	0	0	0	0	17	431	236	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3672	0	0	4	118	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	1894	0	0	0	0	0	0	291	0	91	0	0	0	0	0	0	0	198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	4	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	21	0	0	2	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	549	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	210	0	3	7	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	0	0	0	0	0
f259	0	0	0	0	0	0	0	29	6	0	0	0	0	635	0	45	0	276	0	0	14	41	274	0	0	1028	3	0	0	1588	0	0	0	0	0	19	0	0	0	0	0	0	0	0	36	36874	0	5317	0	4	0	0	0	0	0	8	0	1916	0	0	0	0	0	0	0	6	0	0	444	178	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	20	7	0	0	0	0	0	0	0	0	3049	2	0	0	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1315	0	0	0	0	0	0	345	0	198	0	0	0	10	0	16	0	153	0	4	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	34	0	0	2	0	0	0	0	0	0	0	0	0	35	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	28	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	26	0	0	436	0	0	0	5	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	330	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	5	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	139	0	0	0	0	0
f260	0	0	0	0	0	0	0	57	0	0	0	10	0	890	0	42	0	502	0	0	17	76	267	0	0	1513	20	0	0	1877	0	0	0	0	0	37	0	0	0	0	0	0	6	0	58	32109	0	4225	0	0	0	0	0	0	13	5	0	4416	0	0	3	2	0	0	0	0	0	14	703	370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	11	0	0	0	0	0	3	5	0	4175	0	14	0	176	0	0	3	0	0	3	0	0	0	0	0	0	0	0	0	703	0	0	0	0	0	0	333	5	98	0	0	0	0	0	13	0	77	0	0	29	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	9	0	0	29	0	12	4	0	0	0	0	0	0	0	0	0	45	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	5	0	597	0	0	0	16	19	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	634	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	207	0	0	0	0	0
f21	4	226	0	0	0	0	419	259	77	0	0	0	81	438	0	0	9	258	0	0	975	44	16	0	4	70	0	96	0	875	350	3	4439	0	4	0	791	24	39	96	27	0	163	3	98	42717	30	382	21	0	0	0	0	0	0	4	32	7351	14	0	25	4	0	0	138	11	0	8	648	131	0	0	0	0	17	0	0	0	0	46	19	0	37	0	2	0	69	10084	13	0	64	0	12	5	4	115	0	0	19	0	0	0	0	0	3	0	0	0	55	0	55	202	0	0	0	0	125	575	135	66	18	355	22	0	0	0	14	0	0	2	2	0	0	0	0	80	16	453	0	37	32	0	0	0	88	113	12	0	7	0	0	0	0	0	156	0	23	171	440	0	0	0	0	0	5	2	13	0	0	0	0	0	80	0	8	0	0	0	0	0	12	0	0	0	11	33	0	0	0	0	0	0	0	0	0	28	2	0	39	0	0	109	0	0	0	0	0	7	0	10	0	4	28	38	0	0	180	4	0	0	7	0	3	0	0	0	0	168	0	32	0	0	0	0	0	0	0	0	8	0	40	0	0	0	0	0	0	0	16	0	0	0	0	12	5	0	0	0	0	0	0	0	28	0	0	0	37	0	0	0	31	0	0	8	0	0	0	20	34	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	52	0	0	0	0	0	0	0	0	0	0	862	0	0	2	0	0	84	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	1167	0	0	0	0	0	0	0	0	129	0	0	0	0	0
f22	0	45	0	0	0	0	0	0	0	0	154	0	0	41	0	0	0	37	0	0	1467	6	0	0	0	0	0	0	0	1210	0	0	29	0	0	0	0	0	0	0	0	24	0	0	0	81812	0	81	0	0	0	0	0	0	0	0	0	2529	0	0	0	0	0	27	0	0	0	0	84	0	40	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	61	0	17	0	0	0	0	0	0	126	0	10	0	0	0	0	4	0	0	0	35	0	0	0	0	0	0	10	8	85	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	73	0	0	0	23	0	0	0	0	0	0	0	0	0	0	8	0	0	30	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	22	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f23	0	0	0	0	0	0	0	0	40	0	0	0	0	177	0	5	0	507	0	0	3266	25	0	0	0	38	4	0	0	1496	0	0	39	0	0	0	0	0	0	0	0	0	0	0	59	65482	0	151	0	0	0	0	0	0	0	0	0	19041	0	0	12	0	0	0	0	5	0	0	248	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	25	349	0	19	3	147	0	0	0	0	0	0	0	0	0	0	0	3	0	131	10	223	0	0	0	0	0	0	181	0	12	0	0	0	0	0	0	0	169	0	0	58	0	0	0	0	0	0	5	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	8	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	233	0	0	0	0	0
f24	0	164	7	0	0	0	711	1083	115	71	3	13	369	2484	0	0	7	2167	0	84	328	488	163	0	186	1223	4	14	0	2616	79	0	432	4	0	51	677	0	563	31	44	0	175	138	797	2204	379	590	72	33	0	21	0	0	166	0	291	1909	298	39	161	2	0	0	99	540	0	199	3254	1253	43	0	55	0	0	9	0	0	31	641	0	3	303	0	392	6	1009	190	17	15	1393	52	49	17	133	275	23	0	4	5	0	855	0	0	0	0	102	73	115	74	140	1931	0	164	210	11	248	2206	359	59	21	776	0	152	0	127	8	0	0	9	10	3	0	0	0	960	3426	501	0	9	229	2	0	0	25	0	5	78	5	5	0	35	0	0	42	0	2011	2062	854	0	0	0	3	83	83	6	9	0	1347	39	49	0	415	8	193	73	35	0	22	128	0	8	374	0	134	39	28	0	94	0	0	0	29	0	0	34	4	0	4551	10	0	179	0	0	46	0	91	396	0	0	0	0	26	167	207	0	15	35	3	0	118	0	0	52	5	0	0	262	4	0	0	0	0	0	449	0	4	440	11	0	95	0	0	1007	0	3	32	0	48	0	0	0	238	0	57	53	0	100	0	0	0	0	13	0	0	9	0	0	0	709	89	27	22	559	0	0	0	48	60	0	0	0	0	0	0	0	0	0	4	18	0	0	28	0	0	0	0	0	0	0	62	0	1053	0	0	27	0	0	0	2	0	0	17	6	0	17	0	112	0	0	8	0	11	0	0	6	7	0	628	0	129	0	4	0	10	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	3	0	0	0	0	943	0	4	0	0	0	0	0	13	588	4	0	0	9	0
f25	0	0	0	0	0	0	0	0	0	0	43	0	0	7	0	0	0	0	0	0	43	1477	0	0	0	0	0	0	0	0	0	0	229	0	0	0	15	0	0	0	1420	0	0	0	0	384	0	289	0	0	0	0	0	0	0	0	0	223	0	0	0	0	0	0	0	0	0	28	0	0	112	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	164	0	0	87	0	0	0	0	0	0	240	56	0	0	0	0	0	0	0	0	3	186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	396	38	209	0	0	0	7	0	0	0	0	0	0	0	309	0	0	0	0	0	0	0	0	0	0	0	134	79	0	0	0	0	0	0	0	0	533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	688	0	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	243	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0
f26	13	670	0	0	0	0	841	516	81	0	0	0	214	908	0	0	19	872	0	3	178	187	200	0	15	208	11	170	0	777	652	0	9909	4	4	11	1883	122	84	191	45	0	318	5	190	1583	152	572	67	3	0	0	0	5	0	0	1131	493	102	267	59	0	0	0	157	21	0	24	1392	225	17	0	41	0	18	0	0	0	0	124	0	0	115	0	21	0	1339	14875	29	0	125	143	8	26	22	137	0	0	91	0	0	35	0	0	2	15	365	104	539	0	87	657	0	11	12	25	249	2267	212	232	70	1226	36	38	3	0	54	0	0	8	0	0	0	3	20	262	39	322	0	30	114	0	0	0	71	342	12	4	24	0	5	98	0	0	0	0	99	451	1042	0	0	0	0	0	14	10	32	0	73	17	0	0	312	0	0	100	6	0	9	10	0	0	75	4	28	32	0	0	14	0	0	0	0	2	0	40	9	0	280	5	0	382	0	0	0	0	0	74	0	9	0	25	65	114	0	8	164	15	0	0	159	0	0	0	0	5	0	213	0	50	0	0	0	0	0	0	0	8	11	0	83	0	0	27	0	0	0	0	185	0	0	0	0	14	50	0	0	10	0	0	0	0	19	10	9	0	7	0	0	0	80	0	16	0	0	0	21	20	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	21	0	24	0	0	22	0	0	48	0	0	0	0	8	0	103	0	194	0	0	6	0	0	0	0	0	0	0	2450	0	28	0	0	0	189	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2480	0	0	14	0	0	0	0	0	404	3	0	0	0	0
