task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
34	d6/f837f3	984341	NFCORE_TAXPROFILER:TAXPROFILER:SHORTREAD_HOSTREMOVAL:SAMTOOLS_INDEX (TS047_RoL_RNA_655)	COMPLETED	0	2025-04-22 23:28:53.977	6m 14s	1m 50s	22.3%	12 MB	208.3 MB	1.5 GB	2.2 MB
29	56/a41585	984342	NFCORE_TAXPROFILER:TAXPROFILER:SHORTREAD_HOSTREMOVAL:SAMTOOLS_INDEX (TS047_RoL_RNA_477)	COMPLETED	0	2025-04-22 23:28:54.011	6m 14s	1m 50s	23.1%	14 MB	208.3 MB	1.6 GB	2.2 MB
36	3c/ca2593	984343	NFCORE_TAXPROFILER:TAXPROFILER:SHORTREAD_HOSTREMOVAL:SAMTOOLS_INDEX (TS047_RoL_RNA_328)	COMPLETED	0	2025-04-22 23:28:54.044	6m 14s	1m 51s	24.0%	14 MB	208.3 MB	1.7 GB	2.2 MB
18	2f/1b23cf	984344	NFCORE_TAXPROFILER:TAXPROFILER:SHORTREAD_HOSTREMOVAL:SAMTOOLS_INDEX (TS047_RoL_RNA_16)	COMPLETED	0	2025-04-22 23:28:54.077	6m 15s	1m 50s	19.3%	14 MB	208.3 MB	1.3 GB	2.2 MB
19	af/136881	984345	NFCORE_TAXPROFILER:TAXPROFILER:SHORTREAD_HOSTREMOVAL:SAMTOOLS_INDEX (TS047_RoL_RNA_20)	COMPLETED	0	2025-04-22 23:28:54.109	6m 15s	1m 51s	23.1%	14 MB	208.3 MB	1.6 GB	2.2 MB
17	d5/ceb134	984346	NFCORE_TAXPROFILER:TAXPROFILER:SHORTREAD_HOSTREMOVAL:SAMTOOLS_INDEX (TS047_RoL_RNA_355)	COMPLETED	0	2025-04-22 23:28:54.142	6m 15s	1m 49s	16.5%	8 MB	208.3 MB	1.1 GB	2.2 MB
30	e4/d05cf2	984347	NFCORE_TAXPROFILER:TAXPROFILER:SHORTREAD_HOSTREMOVAL:SAMTOOLS_INDEX (TS047_RoL_RNA_710)	COMPLETED	0	2025-04-22 23:28:54.174	6m 16s	1m 50s	21.5%	14 MB	208.3 MB	1.4 GB	2.2 MB
26	22/0fe17b	984348	NFCORE_TAXPROFILER:TAXPROFILER:SHORTREAD_HOSTREMOVAL:SAMTOOLS_INDEX (TS047_RoL_RNA_46)	COMPLETED	0	2025-04-22 23:28:54.206	6m 16s	1m 50s	20.3%	12 MB	208.3 MB	1.3 GB	2 MB
41	72/e55231	984366	NFCORE_TAXPROFILER:TAXPROFILER:SHORTREAD_HOSTREMOVAL:SAMTOOLS_STATS (TS047_RoL_RNA_655)	COMPLETED	0	2025-04-22 23:35:08.490	4m 4s	1m 35s	96.7%	4 MB	209.8 MB	1.5 GB	148.1 KB
42	6e/9598df	984367	NFCORE_TAXPROFILER:TAXPROFILER:SHORTREAD_HOSTREMOVAL:SAMTOOLS_STATS (TS047_RoL_RNA_477)	COMPLETED	0	2025-04-22 23:35:09.018	4m 9s	1m 37s	98.4%	4 MB	209.8 MB	1.6 GB	149.9 KB
28	22/b18fdd	984349	NFCORE_TAXPROFILER:TAXPROFILER:PROFILING:KRAKEN2_KRAKEN2 (kraken2_custom_k2|bracken|TS047_RoL_RNA_46)	COMPLETED	0	2025-04-22 23:28:54.240	10m 49s	1m 32s	187.2%	2.2 GB	2.7 GB	9.6 GB	1.4 GB
23	7e/2f470b	984350	NFCORE_TAXPROFILER:TAXPROFILER:PROFILING:KRAKEN2_KRAKEN2 (kraken2_custom_k2|bracken|TS047_RoL_RNA_16)	COMPLETED	0	2025-04-22 23:28:54.274	10m 49s	1m 27s	139.6%	2.1 GB	3.2 GB	7 GB	942.3 MB
31	81/fa877b	984351	NFCORE_TAXPROFILER:TAXPROFILER:PROFILING:KRAKEN2_KRAKEN2 (kraken2_custom_k2|kraken2|TS047_RoL_RNA_477)	COMPLETED	0	2025-04-22 23:28:54.311	10m 49s	1m 29s	186.2%	2.1 GB	3 GB	8.5 GB	1.2 GB
37	05/a6263c	984353	NFCORE_TAXPROFILER:TAXPROFILER:PROFILING:KRAKEN2_KRAKEN2 (kraken2_custom_k2|kraken2|TS047_RoL_RNA_655)	COMPLETED	0	2025-04-22 23:28:54.378	10m 49s	1m 36s	189.9%	2.1 GB	2.7 GB	9.4 GB	1.3 GB
24	c5/de8bb3	984354	NFCORE_TAXPROFILER:TAXPROFILER:PROFILING:KRAKEN2_KRAKEN2 (kraken2_custom_k2|kraken2|TS047_RoL_RNA_20)	COMPLETED	0	2025-04-22 23:28:54.412	10m 50s	1m 33s	177.6%	2.1 GB	2.7 GB	8.4 GB	1.2 GB
39	ed/9d5f09	984355	NFCORE_TAXPROFILER:TAXPROFILER:PROFILING:KRAKEN2_KRAKEN2 (kraken2_custom_k2|kraken2|TS047_RoL_RNA_328)	COMPLETED	0	2025-04-22 23:28:54.445	10m 50s	1m 40s	172.1%	2.1 GB	2.7 GB	9 GB	1.3 GB
27	47/914abe	984356	NFCORE_TAXPROFILER:TAXPROFILER:PROFILING:KRAKEN2_KRAKEN2 (kraken2_custom_k2|kraken2|TS047_RoL_RNA_46)	COMPLETED	0	2025-04-22 23:28:54.478	10m 50s	1m 32s	183.4%	2.1 GB	2.7 GB	9.6 GB	1.4 GB
40	ed/fdd742	984357	NFCORE_TAXPROFILER:TAXPROFILER:PROFILING:KRAKEN2_KRAKEN2 (kraken2_custom_k2|bracken|TS047_RoL_RNA_328)	COMPLETED	0	2025-04-22 23:28:54.512	10m 51s	1m 41s	174.5%	2.1 GB	2.7 GB	9 GB	1.3 GB
33	f5/4d3a70	984358	NFCORE_TAXPROFILER:TAXPROFILER:PROFILING:KRAKEN2_KRAKEN2 (kraken2_custom_k2|kraken2|TS047_RoL_RNA_710)	COMPLETED	0	2025-04-22 23:28:54.545	10m 51s	1m 29s	171.3%	2.1 GB	2.7 GB	8 GB	1.1 GB
22	73/7427d6	984359	NFCORE_TAXPROFILER:TAXPROFILER:PROFILING:KRAKEN2_KRAKEN2 (kraken2_custom_k2|kraken2|TS047_RoL_RNA_16)	COMPLETED	0	2025-04-22 23:28:54.580	10m 51s	1m 26s	145.1%	2.1 GB	3.2 GB	7 GB	942.3 MB
25	e6/115ee7	984360	NFCORE_TAXPROFILER:TAXPROFILER:PROFILING:KRAKEN2_KRAKEN2 (kraken2_custom_k2|bracken|TS047_RoL_RNA_20)	COMPLETED	0	2025-04-22 23:28:54.613	10m 51s	1m 32s	170.9%	2.1 GB	2.8 GB	8.4 GB	1.2 GB
35	f6/c5019a	984361	NFCORE_TAXPROFILER:TAXPROFILER:PROFILING:KRAKEN2_KRAKEN2 (kraken2_custom_k2|bracken|TS047_RoL_RNA_710)	COMPLETED	0	2025-04-22 23:28:54.647	10m 52s	1m 29s	167.8%	2.1 GB	2.7 GB	8 GB	1.1 GB
38	da/f9fde8	984362	NFCORE_TAXPROFILER:TAXPROFILER:PROFILING:KRAKEN2_KRAKEN2 (kraken2_custom_k2|bracken|TS047_RoL_RNA_655)	COMPLETED	0	2025-04-22 23:28:54.680	10m 52s	1m 39s	224.3%	2.1 GB	2.7 GB	9.4 GB	1.3 GB
20	ad/211593	984352	NFCORE_TAXPROFILER:TAXPROFILER:PROFILING:KRAKEN2_KRAKEN2 (kraken2_custom_k2|kraken2|TS047_RoL_RNA_355)	COMPLETED	0	2025-04-22 23:28:54.344	11m 14s	1m 18s	129.8%	2.1 GB	2.7 GB	6.1 GB	749.8 MB
21	0e/01f092	984363	NFCORE_TAXPROFILER:TAXPROFILER:PROFILING:KRAKEN2_KRAKEN2 (kraken2_custom_k2|bracken|TS047_RoL_RNA_355)	COMPLETED	0	2025-04-22 23:28:54.714	12m 13s	1m 6s	184.3%	2.1 GB	2.7 GB	6.1 GB	749.8 MB
43	3a/64b4a5	984368	NFCORE_TAXPROFILER:TAXPROFILER:SHORTREAD_HOSTREMOVAL:SAMTOOLS_STATS (TS047_RoL_RNA_328)	COMPLETED	0	2025-04-22 23:35:09.147	8m 44s	1m 46s	115.5%	4 MB	209.8 MB	1.7 GB	145.1 KB
44	e9/c96088	984369	NFCORE_TAXPROFILER:TAXPROFILER:SHORTREAD_HOSTREMOVAL:SAMTOOLS_STATS (TS047_RoL_RNA_16)	COMPLETED	0	2025-04-22 23:35:09.667	8m 43s	1m 29s	109.5%	4 MB	209.8 MB	1.3 GB	140.3 KB
45	13/6e208c	984370	NFCORE_TAXPROFILER:TAXPROFILER:SHORTREAD_HOSTREMOVAL:SAMTOOLS_STATS (TS047_RoL_RNA_20)	COMPLETED	0	2025-04-22 23:35:09.988	8m 43s	1m 17s	114.5%	4 MB	209.8 MB	1.6 GB	142.5 KB
46	5d/63a17d	984371	NFCORE_TAXPROFILER:TAXPROFILER:SHORTREAD_HOSTREMOVAL:SAMTOOLS_STATS (TS047_RoL_RNA_355)	COMPLETED	0	2025-04-22 23:35:10.106	8m 43s	1m 2s	100.8%	4 MB	209.8 MB	1.1 GB	123 KB
47	7b/d1b5de	984372	NFCORE_TAXPROFILER:TAXPROFILER:SHORTREAD_HOSTREMOVAL:SAMTOOLS_STATS (TS047_RoL_RNA_710)	COMPLETED	0	2025-04-22 23:35:10.337	8m 43s	1m 11s	113.9%	4 MB	209.8 MB	1.4 GB	145.7 KB
48	dc/019961	984373	NFCORE_TAXPROFILER:TAXPROFILER:SHORTREAD_HOSTREMOVAL:SAMTOOLS_STATS (TS047_RoL_RNA_46)	COMPLETED	0	2025-04-22 23:35:10.417	8m 43s	1m 10s	111.9%	4 MB	209.8 MB	1.3 GB	130.9 KB
49	62/9ee359	984376	NFCORE_TAXPROFILER:TAXPROFILER:VISUALIZATION_KRONA:KRAKENTOOLS_KREPORT2KRONA (TS047_RoL_RNA_46)	COMPLETED	0	2025-04-22 23:39:43.448	7m 4s	5s	3.4%	14 MB	21.6 MB	1.5 MB	704 B
51	f5/48b9d8	984378	NFCORE_TAXPROFILER:TAXPROFILER:VISUALIZATION_KRONA:KRAKENTOOLS_KREPORT2KRONA (TS047_RoL_RNA_16)	COMPLETED	0	2025-04-22 23:39:44.708	7m 3s	6s	3.3%	14 MB	21.6 MB	1.5 MB	704 B
68	58/da7577	984395	NFCORE_TAXPROFILER:TAXPROFILER:VISUALIZATION_KRONA:KRAKENTOOLS_KREPORT2KRONA (TS047_RoL_RNA_355)	COMPLETED	0	2025-04-22 23:40:08.021	6m 40s	6s	3.3%	14 MB	21.6 MB	1.5 MB	705 B
70	f0/e09025	984396	NFCORE_TAXPROFILER:TAXPROFILER:VISUALIZATION_KRONA:KRAKENTOOLS_KREPORT2KRONA (TS047_RoL_RNA_355)	COMPLETED	0	2025-04-22 23:41:08.155	5m 40s	4s	4.9%	10 MB	19.2 MB	1.5 MB	705 B
53	e7/e0ab51	984380	NFCORE_TAXPROFILER:TAXPROFILER:VISUALIZATION_KRONA:KRAKENTOOLS_KREPORT2KRONA (TS047_RoL_RNA_477)	COMPLETED	0	2025-04-22 23:39:45.927	7m 12s	6s	3.5%	12 MB	21.6 MB	1.5 MB	704 B
54	a4/a8254d	984381	NFCORE_TAXPROFILER:TAXPROFILER:VISUALIZATION_KRONA:KRAKENTOOLS_KREPORT2KRONA (TS047_RoL_RNA_655)	COMPLETED	0	2025-04-22 23:39:47.297	7m 11s	6s	3.3%	10 MB	21.6 MB	1.5 MB	704 B
55	68/8470b1	984382	NFCORE_TAXPROFILER:TAXPROFILER:VISUALIZATION_KRONA:KRAKENTOOLS_KREPORT2KRONA (TS047_RoL_RNA_20)	COMPLETED	0	2025-04-22 23:39:47.333	7m 11s	5s	3.5%	14 MB	21.6 MB	1.5 MB	704 B
56	d6/406438	984383	NFCORE_TAXPROFILER:TAXPROFILER:VISUALIZATION_KRONA:KRAKENTOOLS_KREPORT2KRONA (TS047_RoL_RNA_328)	COMPLETED	0	2025-04-22 23:39:47.366	7m 11s	5s	3.5%	14 MB	21.4 MB	1.5 MB	704 B
57	0c/029445	984384	NFCORE_TAXPROFILER:TAXPROFILER:VISUALIZATION_KRONA:KRAKENTOOLS_KREPORT2KRONA (TS047_RoL_RNA_46)	COMPLETED	0	2025-04-22 23:39:47.399	7m 11s	6s	3.5%	14 MB	21.6 MB	1.5 MB	704 B
59	42/7890b9	984386	NFCORE_TAXPROFILER:TAXPROFILER:VISUALIZATION_KRONA:KRAKENTOOLS_KREPORT2KRONA (TS047_RoL_RNA_328)	COMPLETED	0	2025-04-22 23:39:47.463	7m 11s	5s	3.5%	10 MB	21.6 MB	1.5 MB	704 B
60	48/1b4ca4	984387	NFCORE_TAXPROFILER:TAXPROFILER:VISUALIZATION_KRONA:KRAKENTOOLS_KREPORT2KRONA (TS047_RoL_RNA_710)	COMPLETED	0	2025-04-22 23:39:47.498	7m 12s	5s	3.7%	14 MB	21.6 MB	1.5 MB	704 B
61	87/c90aa4	984388	NFCORE_TAXPROFILER:TAXPROFILER:VISUALIZATION_KRONA:KRAKENTOOLS_KREPORT2KRONA (TS047_RoL_RNA_16)	COMPLETED	0	2025-04-22 23:39:47.531	7m 12s	5s	3.3%	12 MB	21.6 MB	1.5 MB	704 B
63	5d/231cb8	984389	NFCORE_TAXPROFILER:TAXPROFILER:VISUALIZATION_KRONA:KRAKENTOOLS_KREPORT2KRONA (TS047_RoL_RNA_20)	COMPLETED	0	2025-04-22 23:39:47.566	7m 12s	6s	3.3%	14 MB	21.6 MB	1.5 MB	704 B
64	6b/d5f3e8	984392	NFCORE_TAXPROFILER:TAXPROFILER:VISUALIZATION_KRONA:KRAKENTOOLS_KREPORT2KRONA (TS047_RoL_RNA_710)	COMPLETED	0	2025-04-22 23:39:47.665	7m 12s	6s	3.5%	14 MB	21.6 MB	1.5 MB	704 B
66	a4/89515b	984393	NFCORE_TAXPROFILER:TAXPROFILER:VISUALIZATION_KRONA:KRAKENTOOLS_KREPORT2KRONA (TS047_RoL_RNA_655)	COMPLETED	0	2025-04-22 23:39:47.700	7m 12s	6s	3.7%	14 MB	21.6 MB	1.5 MB	704 B
32	3f/2f9374	984364	NFCORE_TAXPROFILER:TAXPROFILER:PROFILING:KRAKEN2_KRAKEN2 (kraken2_custom_k2|bracken|TS047_RoL_RNA_477)	COMPLETED	0	2025-04-22 23:28:54.750	18m 13s	44.5s	346.8%	2.2 GB	3.2 GB	8.5 GB	1.2 GB
52	96/d9d39b	984379	NFCORE_TAXPROFILER:TAXPROFILER:PROFILING:BRACKEN_BRACKEN (kraken2_custom_k2|TS047_RoL_RNA_16)	FAILED	0	2025-04-22 23:39:45.318	7m 48s	0ms	22.1%	2 MB	5.4 MB	115.2 KB	608 B
58	7f/d469c5	984385	NFCORE_TAXPROFILER:TAXPROFILER:PROFILING:BRACKEN_BRACKEN (kraken2_custom_k2|TS047_RoL_RNA_328)	FAILED	0	2025-04-22 23:39:47.431	7m 46s	0ms	21.9%	2 MB	5.3 MB	115.2 KB	611 B
62	c2/f8a804	984390	NFCORE_TAXPROFILER:TAXPROFILER:PROFILING:BRACKEN_BRACKEN (kraken2_custom_k2|TS047_RoL_RNA_20)	FAILED	0	2025-04-22 23:39:47.599	7m 46s	0ms	23.0%	0	5.3 MB	115.2 KB	608 B
65	f7/e9e327	984391	NFCORE_TAXPROFILER:TAXPROFILER:PROFILING:BRACKEN_BRACKEN (kraken2_custom_k2|TS047_RoL_RNA_710)	FAILED	0	2025-04-22 23:39:47.632	7m 46s	0ms	18.4%	2 MB	5.4 MB	115.2 KB	608 B
67	fa/172bc5	984394	NFCORE_TAXPROFILER:TAXPROFILER:PROFILING:BRACKEN_BRACKEN (kraken2_custom_k2|TS047_RoL_RNA_655)	FAILED	0	2025-04-22 23:39:47.733	7m 46s	0ms	25.0%	0	3.6 MB	115.2 KB	608 B
50	bd/380c34	984377	NFCORE_TAXPROFILER:TAXPROFILER:PROFILING:BRACKEN_BRACKEN (kraken2_custom_k2|TS047_RoL_RNA_46)	FAILED	0	2025-04-22 23:39:44.077	8m 9s	0ms	22.0%	2 MB	5.4 MB	115.2 KB	611 B
69	15/11980b	984397	NFCORE_TAXPROFILER:TAXPROFILER:PROFILING:BRACKEN_BRACKEN (kraken2_custom_k2|TS047_RoL_RNA_355)	FAILED	0	2025-04-22 23:41:08.190	6m 45s	1s	5.7%	0	3.6 MB	115.2 KB	607 B
71	77/26ae04	984398	NFCORE_TAXPROFILER:TAXPROFILER:VISUALIZATION_KRONA:KRONA_CLEANUP (TS047_RoL_RNA_46)	COMPLETED	0	2025-04-22 23:46:48.259	1m 40s	3.4s	1.7%	2 MB	3.9 MB	627.2 KB	3.6 KB
72	cc/4deb44	984399	NFCORE_TAXPROFILER:TAXPROFILER:VISUALIZATION_KRONA:KRONA_CLEANUP (TS047_RoL_RNA_16)	COMPLETED	0	2025-04-22 23:46:48.568	1m 39s	3.4s	2.2%	2 MB	3.9 MB	627.2 KB	3.6 KB
73	42/c95683	984400	NFCORE_TAXPROFILER:TAXPROFILER:VISUALIZATION_KRONA:KRONA_CLEANUP (TS047_RoL_RNA_355)	COMPLETED	0	2025-04-22 23:46:48.606	1m 40s	3.5s	1.7%	2 MB	3.9 MB	627.2 KB	3.6 KB
74	b3/3c45c1	984401	NFCORE_TAXPROFILER:TAXPROFILER:VISUALIZATION_KRONA:KRONA_CLEANUP (TS047_RoL_RNA_355)	COMPLETED	0	2025-04-22 23:46:48.639	1m 40s	3.4s	1.7%	2 MB	3.9 MB	627.2 KB	3.6 KB
75	9b/182c9e	984402	NFCORE_TAXPROFILER:TAXPROFILER:VISUALIZATION_KRONA:KRONA_CLEANUP (TS047_RoL_RNA_477)	COMPLETED	0	2025-04-22 23:46:58.285	2m 10s	5.1s	1.0%	2 MB	3.9 MB	627.2 KB	3.6 KB
76	24/131928	984403	NFCORE_TAXPROFILER:TAXPROFILER:VISUALIZATION_KRONA:KRONA_CLEANUP (TS047_RoL_RNA_655)	COMPLETED	0	2025-04-22 23:46:58.698	2m 9s	1.9s	3.3%	2 MB	3.9 MB	627.2 KB	3.6 KB
77	55/4e5748	984404	NFCORE_TAXPROFILER:TAXPROFILER:VISUALIZATION_KRONA:KRONA_CLEANUP (TS047_RoL_RNA_20)	COMPLETED	0	2025-04-22 23:46:59.105	2m 9s	1.9s	2.8%	2 MB	3.9 MB	627.2 KB	3.6 KB
78	82/6e536c	984405	NFCORE_TAXPROFILER:TAXPROFILER:VISUALIZATION_KRONA:KRONA_CLEANUP (TS047_RoL_RNA_328)	COMPLETED	0	2025-04-22 23:46:59.698	2m 9s	1.9s	2.8%	2 MB	3.9 MB	627.2 KB	3.6 KB
79	12/3c7dc7	984406	NFCORE_TAXPROFILER:TAXPROFILER:VISUALIZATION_KRONA:KRONA_CLEANUP (TS047_RoL_RNA_46)	COMPLETED	0	2025-04-22 23:46:59.998	2m 9s	1.9s	3.4%	2 MB	3.9 MB	627.2 KB	3.6 KB
80	a7/9de0b9	984407	NFCORE_TAXPROFILER:TAXPROFILER:VISUALIZATION_KRONA:KRONA_CLEANUP (TS047_RoL_RNA_328)	COMPLETED	0	2025-04-22 23:47:00.034	2m 9s	1.9s	3.8%	2 MB	3.9 MB	627.2 KB	3.6 KB
81	ff/a75744	984408	NFCORE_TAXPROFILER:TAXPROFILER:VISUALIZATION_KRONA:KRONA_CLEANUP (TS047_RoL_RNA_710)	COMPLETED	0	2025-04-22 23:47:00.067	2m 9s	1.9s	3.4%	2 MB	3.9 MB	627.2 KB	3.6 KB
82	9d/070222	984409	NFCORE_TAXPROFILER:TAXPROFILER:VISUALIZATION_KRONA:KRONA_CLEANUP (TS047_RoL_RNA_16)	COMPLETED	0	2025-04-22 23:47:00.101	2m 9s	1.9s	2.9%	2 MB	3.9 MB	627.2 KB	3.6 KB
83	3e/84be7e	984410	NFCORE_TAXPROFILER:TAXPROFILER:VISUALIZATION_KRONA:KRONA_CLEANUP (TS047_RoL_RNA_20)	COMPLETED	0	2025-04-22 23:47:00.137	2m 9s	1.9s	3.4%	2 MB	3.9 MB	627.2 KB	3.6 KB
84	57/bd3423	984411	NFCORE_TAXPROFILER:TAXPROFILER:VISUALIZATION_KRONA:KRONA_CLEANUP (TS047_RoL_RNA_710)	COMPLETED	0	2025-04-22 23:47:00.169	2m 10s	1.9s	3.3%	2 MB	3.9 MB	627.2 KB	3.6 KB
85	d1/1fe7d3	984412	NFCORE_TAXPROFILER:TAXPROFILER:VISUALIZATION_KRONA:KRONA_CLEANUP (TS047_RoL_RNA_655)	COMPLETED	0	2025-04-22 23:47:00.203	2m 10s	1.9s	2.9%	2 MB	3.9 MB	627.2 KB	3.6 KB
87	16/65d8f0	984413	NFCORE_TAXPROFILER:TAXPROFILER:VISUALIZATION_KRONA:KRAKENTOOLS_KREPORT2KRONA (TS047_RoL_RNA_477)	COMPLETED	0	2025-04-22 23:47:08.129	2m 5s	0ms	28.5%	2 MB	5.4 MB	1.5 MB	705 B
86	40/870329	984414	NFCORE_TAXPROFILER:TAXPROFILER:PROFILING:BRACKEN_BRACKEN (kraken2_custom_k2|TS047_RoL_RNA_477)	FAILED	0	2025-04-22 23:47:08.166	2m 5s	0ms	15.5%	2 MB	5.4 MB	115.2 KB	608 B
88	63/93b869	984415	NFCORE_TAXPROFILER:TAXPROFILER:VISUALIZATION_KRONA:KRONA_CLEANUP (TS047_RoL_RNA_477)	COMPLETED	0	2025-04-22 23:49:13.170	34.7s	223ms	23.7%	2 MB	3.9 MB	627.2 KB	3.6 KB
3	57/a9361b	984336	NFCORE_TAXPROFILER:TAXPROFILER:SHORTREAD_HOSTREMOVAL:BOWTIE2_ALIGN (TS047_RoL_RNA_177)	COMPLETED	0	2025-04-22 23:28:53.782	33m 14s	22m 40s	1089.4%	28.6 GB	35.6 GB	54.3 GB	52.4 GB
4	97/e5094e	984338	NFCORE_TAXPROFILER:TAXPROFILER:SHORTREAD_HOSTREMOVAL:BOWTIE2_ALIGN (TS047_RoL_RNA_291)	COMPLETED	0	2025-04-22 23:28:53.872	33m 49s	23m 24s	1106.9%	28.5 GB	35.5 GB	56.3 GB	54.4 GB
89	99/1780a8	984417	NFCORE_TAXPROFILER:TAXPROFILER:SHORTREAD_HOSTREMOVAL:SAMTOOLS_INDEX (TS047_RoL_RNA_177)	COMPLETED	0	2025-04-23 00:02:08.164	1m 40s	14s	121.9%	10 MB	208.3 MB	1.4 GB	2.2 MB
12	ea/e058c5	984337	NFCORE_TAXPROFILER:TAXPROFILER:SHORTREAD_HOSTREMOVAL:BOWTIE2_ALIGN (TS047_RoL_RNA_532)	COMPLETED	0	2025-04-22 23:28:53.825	35m 19s	24m 57s	1057.6%	29.6 GB	37.6 GB	58.9 GB	57 GB
92	c2/22145a	984420	NFCORE_TAXPROFILER:TAXPROFILER:SHORTREAD_HOSTREMOVAL:SAMTOOLS_INDEX (TS047_RoL_RNA_291)	COMPLETED	0	2025-04-23 00:02:43.118	2m 10s	19s	96.4%	14 MB	208.3 MB	1.5 GB	2.2 MB
10	15/6350f1	984340	NFCORE_TAXPROFILER:TAXPROFILER:SHORTREAD_HOSTREMOVAL:BOWTIE2_ALIGN (TS047_RoL_RNA_498)	COMPLETED	0	2025-04-22 23:28:53.943	36m 9s	25m 35s	1088.7%	28.5 GB	35.6 GB	62.4 GB	60.4 GB
96	1b/8a59d3	984426	NFCORE_TAXPROFILER:TAXPROFILER:SHORTREAD_HOSTREMOVAL:SAMTOOLS_INDEX (TS047_RoL_RNA_532)	COMPLETED	0	2025-04-23 00:04:13.048	1m 40s	14s	139.3%	12 MB	208.3 MB	1.5 GB	2.2 MB
90	ca/aeb20a	984418	NFCORE_TAXPROFILER:TAXPROFILER:PROFILING:KRAKEN2_KRAKEN2 (kraken2_custom_k2|kraken2|TS047_RoL_RNA_177)	COMPLETED	0	2025-04-23 00:02:08.208	4m 10s	53.5s	286.5%	2.1 GB	2.7 GB	7.7 GB	1 GB
91	18/04f62d	984419	NFCORE_TAXPROFILER:TAXPROFILER:PROFILING:KRAKEN2_KRAKEN2 (kraken2_custom_k2|bracken|TS047_RoL_RNA_177)	COMPLETED	0	2025-04-23 00:02:08.241	4m 10s	53.2s	277.8%	2.1 GB	2.7 GB	7.7 GB	1 GB
95	7e/4b8da1	984425	NFCORE_TAXPROFILER:TAXPROFILER:SHORTREAD_HOSTREMOVAL:SAMTOOLS_STATS (TS047_RoL_RNA_177)	COMPLETED	0	2025-04-23 00:03:48.172	2m 40s	1m 11s	116.9%	2 MB	209.8 MB	1.4 GB	148.6 KB
