feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Dinghuibacter	Treatment	A- T- P+	-2.52179726778912	0.668305290845843	165	110	0.000226870398232185	0.00568288105375717
Longivirga	Treatment	A+ T+ P+	2.54696265381021	0.687377643398409	165	91	0.00029095864221364	0.00721746923161018
Chitinivorax	Treatment	A+ T+ P+	1.98489705751396	0.537584879164666	165	45	0.000305091104457515	0.00749526703739375
Haliangiaceae_Genus	Treatment	A- T+ P+	-3.2907693567877	0.894055319655504	165	73	0.000318076653665012	0.00766684764258591
Obscuribacteraceae_Genus	Treatment	A+ T+ P+	1.36549793026126	0.370780419133328	165	38	0.000315735523364716	0.00766684764258591
Polymorphobacter	Treatment	A- T+ P+	1.99048707458698	0.541668442931661	165	66	0.000325028294940431	0.0077611896595589
Tundrisphaera	Treatment	A- T- P+	-2.65281973197615	0.72343134407776	165	117	0.000334222117009691	0.00790682878666446
Chlamydiales_Genus	Treatment	A- T+ P+	2.05968056508602	0.562102906666204	165	76	0.000337554262887114	0.00791239579519796
Elsteraceae_Genus	Treatment	A- T- P+	-0.451124128564221	0.123567443542368	165	8	0.000354225184041145	0.00822768495659204
Phreatobacter	Treatment	A- T+ P+	-2.11374980467045	0.57976039670662	165	158	0.000360549260117476	0.00829912936576714
Hyphomicrobiales_Incertae_Sedis_Genus	Treatment	A- T- P+	2.91953934802004	0.805641810934564	165	125	0.000390134517195603	0.0088999436735247
Bradyrhizobium	Treatment	A- T+ P+	-2.28904687126613	0.635668025930288	165	63	0.000423235748399698	0.00956962245275424
Pseudorhodoplanes	Treatment	A+ T+ P+	1.61657861291408	0.451287716177982	165	39	0.000452528766469123	0.0100540086811184
Elsteraceae_Genus	Treatment	A- T+ P+	-0.450806006551471	0.125767738440197	165	8	0.000448878965284688	0.0100540086811184
Agromyces	Treatment	A+ T+ P+	-2.46917261795236	0.696616414681289	165	70	0.000516747648381835	0.0113818124277206
Paucibacter	Treatment	A- T+ P+	-1.62754877774905	0.459586075791479	165	163	0.00052256336427742	0.0114115332968274
Chryseotalea	Treatment	A+ T+ P+	3.27576622419869	0.927348235514949	165	113	0.000539200555315769	0.0116750628714559
Eremiobacteria_Genus	Treatment	A+ T+ P+	-0.984480862498003	0.279161498300665	165	19	0.000550338211353039	0.0118160851261094
Halomonas	Treatment	A+ T+ P+	1.79718796811719	0.510005528093691	165	53	0.000555570510697304	0.0118290221235968
Bosea	Treatment	A+ T- P+	-1.9856647656953	0.564013267024246	165	136	0.000561941341677327	0.0118657861816989
Roseicella	Treatment	A+ T+ P+	1.66699423980264	0.48083454506151	165	67	0.000677322949287218	0.0141849191428594
Bradyrhizobium	Treatment	A+ T- P+	-2.06867739931647	0.600468861232879	165	63	0.000730137765237315	0.0151666828470028
Rhizobium	Treatment	A- T- P+	-2.30850657057416	0.670712968995472	165	71	0.000738303934340177	0.0152126334857996
Legionella	Treatment	A+ T+ P+	-2.50816274579362	0.731468376110302	165	110	0.000771810479727935	0.0157431794021496
Caulobacter	Treatment	A+ T+ P+	-1.28508328888753	0.37521617452162	165	22	0.000782537684568686	0.0157431794021496
Pseudolysobacter	Treatment	A- T- P+	-0.921252350417326	0.26880479846391	165	12	0.000776388403238173	0.0157431794021496
Candidatus_Protochlamydia	Treatment	A+ T+ P+	1.53260195668332	0.450477516232193	165	48	0.000845776940309447	0.0168825006444581
Gammaproteobacteria_Genus	Treatment	A+ T- P+	-2.32479991085351	0.684380720393461	165	144	0.000860988501658265	0.0169487852436117
Elsteraceae_Genus	Treatment	A+ T+ P+	-0.450501357941615	0.132638094310737	165	8	0.000862364806915662	0.0169487852436117
Burkholderiales_Genus	Treatment	A- T+ P+	-1.3944279897357	0.411629866683652	165	58	0.000888847064051286	0.0173359102950461
Piscinibacter	Treatment	A- T+ P+	-0.70105136051779	0.207724784262283	165	14	0.000927901063514187	0.0178254677990883
Rhodococcus	Treatment	A+ T+ P+	2.61388247520742	0.774481913069793	165	78	0.000927577194210046	0.0178254677990883
Mycobacterium	Treatment	A+ T- P+	-2.25078630946755	0.669888925716093	165	147	0.000976085886897828	0.0186111898583877
Sediminibacterium	Treatment	A- T+ P+	-1.88359122920162	0.561968561963466	165	33	0.00100335614175347	0.018989444016149
SH3.11	Treatment	A+ T+ P+	2.27555058408901	0.680063649862462	165	89	0.0010227714819933	0.0192145671800947
Rhodocyclaceae_Genus	Treatment	A+ T+ P+	2.00622035167142	0.60085033952842	165	71	0.00104755357464999	0.0195364918483995
