gene	log2FoldChange	padj	baseMean	pvalue	stat	metadata	value
LOC141380946	-1.8913383047324879	0.049127767086663374	17.487813911163443	1.0926697561527259e-4	-3.869034960235633	Treatment	A+ T- P+
LOC141382111	34.156364762413865	1.2669249629631124e-14	7.235918509563799	1.2321176396431923e-18	8.811745804414004	Treatment	A+ T- P+
lsm14b	3.579958375036455	0.04371204805220022	94.42628288088876	7.014333020776111e-5	3.9757990745899447	Treatment	A+ T- P+
mapre3a	-1.8016829959897855	0.04255537988846884	18.260915532480546	6.223148263891853e-5	-4.004185641678438	Treatment	A+ T- P+
mcm8	1.549224918777916	0.049127767086663374	31.493438111186094	1.0964612107195873e-4	3.8681902131686114	Treatment	A+ T- P+
pou2f3	-1.3666795976117339	0.02486983375601313	66.03033073960341	2.1141694739574395e-5	-4.252479105960314	Treatment	A+ T- P+
pvalb9	-5.000492209680372	4.066375469892985e-6	952.6266427987682	7.909312851724746e-10	-6.146736961789989	Treatment	A+ T- P+
si:dkey-20d21.12	2.907951311066801	0.04816265952975591	8.470540528225811	8.427000910845014e-5	3.931920291927194	Treatment	A+ T- P+
si:dkey-85k7.10	-1.4503394625114339	0.049127767086663374	192.41376033877737	1.1248123849533968e-4	-3.8619594513266873	Treatment	A+ T- P+
si:dkeyp-46h3.6	4.131987278755296	0.049127767086663374	249.83031868161055	1.023546719119801e-4	3.884941166365828	Treatment	A+ T- P+
tgm1l6	-5.771742609724313	0.03294763565288817	16.48659509043941	3.407614800718462e-5	-4.144361735862843	Treatment	A+ T- P+
trim37	1.603379572280273	0.049127767086663374	60.957129730203796	1.1352659636261502e-4	3.8596993846968726	Treatment	A+ T- P+
tuba4l	3.92428377667007	0.049127767086663374	444.17006529336294	9.383072873041763e-5	3.9060148997511406	Treatment	A+ T- P+
uchl1	1.930202803275134	0.0366338489008969	317.19106754090166	4.097148187311591e-5	4.101931929768703	Treatment	A+ T- P+
ugt5a4	-2.3526114904382394	0.015084154611451512	696.3248373010281	7.334867304377102e-6	-4.4837322941980675	Treatment	A+ T- P+
wu:fd46g04	-1.7666903770269713	0.03294763565288817	404.79471870380206	3.449685699334574e-5	-4.14154872375506	Treatment	A+ T- P+
zgc:153738	3.6573692866406047	1.16016878235394e-5	38.402856589185305	2.8207361593822998e-9	5.94170446682995	Treatment	A+ T- P+
zgc:154142	-2.100431157977044	0.03997124202566087	8032.048974864077	5.636596249667713e-5	-4.027529644200787	Treatment	A+ T- P+
zmp:0000000629	-4.767540135305657	9.427406038054591e-5	89.03303725476083	2.750519631817532e-8	-5.556617897083999	Treatment	A+ T- P+
zp3b	4.5097474817376195	0.049127767086663374	482.00070386055154	1.0867840142188411e-4	3.8703518151238008	Treatment	A+ T- P+
zranb2	0.4728722280188173	0.02486983375601313	451.3807497181664	2.1378835789473154e-5	4.249981305325826	Treatment	A+ T- P+
aaas	0.6898440311761884	0.008951703656644747	231.0422793687067	1.513144566800641e-5	4.326766151631364	Treatment	A- T+ P+
abat	-0.6640382599703516	0.02233077025068341	13998.688313822897	1.0058849921082163e-4	-3.8891679316573082	Treatment	A- T+ P+
ace	-1.4513400019058635	0.006515751029102136	16973.698670330035	9.18827035467843e-6	-4.435444027796259	Treatment	A- T+ P+
acod1	2.21941294843158	0.02076628209376732	226.302493277438	6.909010483873897e-5	3.9793976196655323	Treatment	A- T+ P+
ankrd9	-1.7017639158958602	0.01502996181694435	74.08288842051755	3.654257674919609e-5	-4.128318468383949	Treatment	A- T+ P+
anln2	1.227175862210178	0.004988303132793838	297.2186690859184	5.821506208949774e-6	4.532770472593342	Treatment	A- T+ P+
ano5a	-1.1975941831347252	0.03354193083844916	3356.286018406234	1.891983455998105e-4	-3.733018961471474	Treatment	A- T+ P+
anp32a	0.43024426776693525	0.02076628209376732	2104.4261163303318	7.544144537289218e-5	3.9584382305335875	Treatment	A- T+ P+
anp32b	0.6926822937175227	0.02076628209376732	1353.0824062814459	7.910347448984161e-5	3.9471001471557186	Treatment	A- T+ P+
anp32e	0.37821759758613593	0.045782018745779814	1755.1380490290194	2.8272873234690187e-4	3.630631388865769	Treatment	A- T+ P+
aqp10b	-1.4083421170484578	0.03478803179352197	555.9946532647721	1.9791878044454512e-4	-3.7216582350516587	Treatment	A- T+ P+
arpp19b	0.5630924544137894	0.022239168752537362	407.55293585437335	9.191973469320086e-5	3.910986961915172	Treatment	A- T+ P+
asah2	-1.4821145573956649	0.02233077025068341	4654.608894333878	9.630893325702481e-5	-3.899707586829667	Treatment	A- T+ P+
bub3	0.5922140336856192	0.04767652647987457	387.7119349679604	3.1336492708459145e-4	3.603993474061786	Treatment	A- T+ P+
cdk2ap1	0.7655231511024096	0.02076628209376732	104.14739669197436	6.921542204263372e-5	3.978966739711406	Treatment	A- T+ P+
celf1	0.30290836848161173	0.02233077025068341	1116.614161090204	9.703097550936488e-5	3.8978987291145875	Treatment	A- T+ P+
celsr1b	-2.5087048511393077	0.027809422559259226	41.850108152704806	1.4458578334371655e-4	-3.8001889797567263	Treatment	A- T+ P+
cirbpa	0.6511667983231051	0.0015279123256213578	6839.512091841875	1.0267772769134177e-6	4.886435914899419	Treatment	A- T+ P+
cks1b	1.047810667691262	0.02076628209376732	97.21169758944596	6.748603869549503e-5	3.9849791934947705	Treatment	A- T+ P+
crp7	-3.592752580454491	0.0052898546578872	91.27612471964983	6.6878784879682564e-6	-4.503387478208729	Treatment	A- T+ P+
csrp2	-1.380934781630248	0.02076628209376732	20.47814972822076	7.461014599143016e-5	-3.9610844219065737	Treatment	A- T+ P+
cstf2	0.3494901338018294	0.021248273735515757	720.9758632032681	8.67909065783284e-5	3.9248302800453887	Treatment	A- T+ P+
ddah1	-0.8196283391193825	0.03086012080838984	2568.991977548295	1.68068734769738e-4	-3.7627298304612014	Treatment	A- T+ P+
dek	0.7273244447565292	0.0052898546578872	415.95396543577783	6.6415690982285824e-6	4.504863272704529	Treatment	A- T+ P+
dpep2	-1.5621430573933723	0.026972065331873993	37.21021615082213	1.2722053669787393e-4	-3.8317779525837556	Treatment	A- T+ P+
dut	1.0961864204382725	0.0015279123256213578	513.0327126405361	1.0401542698127406e-6	4.8838856206477415	Treatment	A- T+ P+
ensab	-0.8036944465789237	0.04534407710212245	116.85696578301545	2.7561437577268693e-4	-3.637203312366158	Treatment	A- T+ P+
