gene	log2FoldChange	padj	baseMean	pvalue	stat	metadata	value
nr1h3	-0.7907944165644989	2.0912581378048086e-6	1125.583630603972	1.4223313797930479e-8	-5.670678442121891	Treatment	A- T- P+
nr1i2	-1.1436147741837166	8.026921542989735e-5	505.7993078140099	1.608858450238565e-6	-4.797216295140863	Treatment	A- T- P+
nr2f6b	-0.8916289803881667	0.0021821623853773963	503.0258605675974	1.3795925633027954e-4	-3.8117986172965477	Treatment	A- T- P+
nr3c1	-0.5236854463539378	0.012978897165576259	1163.5052523216752	0.00152071373426012	-3.1707014016761073	Treatment	A- T- P+
nr3c2	-0.8227140096987056	0.03978189775420789	225.71226327690002	0.007136348502469434	-2.6904137242205186	Treatment	A- T- P+
nr5a2	-1.2918567459654569	0.0028190778761853184	391.1351774534654	1.9376802796945667e-4	-3.727005765195681	Treatment	A- T- P+
nr5a5	-1.2485956843669404	8.443590218809169e-6	3123.9086756834186	8.570626922430989e-8	-5.354683572356954	Treatment	A- T- P+
nrbf2b	-0.5503303407979558	0.005862885896412072	473.94634961045296	5.278078692704885e-4	-3.4662318788123074	Treatment	A- T- P+
nrbp2b	-1.165158042968614	1.5011688438520932e-4	500.1385965608892	3.859662268560359e-6	-4.618799689196098	Treatment	A- T- P+
nrip1a	-0.8672339845211425	0.0075044897911919276	411.29041004835545	7.284861277105107e-4	-3.3786276141320335	Treatment	A- T- P+
nrip1b	-0.9644466570951745	1.832676939853784e-4	557.9928674639114	4.9858482287860565e-6	-4.565382322735964	Treatment	A- T- P+
nrip2	1.3826520414838015	0.005873408621274344	54.6593044448077	5.295993964978411e-4	3.4653207701272937	Treatment	A- T- P+
nsa2	-0.99872766329933	7.994535843720205e-5	7098.887302867919	1.5941289012364586e-6	-4.799058928205036	Treatment	A- T- P+
nsd2	2.192950846080279	3.254478421496749e-8	317.6384796279383	7.71362362885668e-11	6.506081796107317	Treatment	A- T- P+
nsfl1c	0.6223379588389502	0.0011467130245730547	1552.2220079755045	5.683934097481856e-5	4.0255622504301	Treatment	A- T- P+
nsl1	2.0059175171966332	0.001321009831429907	48.932602325803465	6.92223309235478e-5	3.9789430062794073	Treatment	A- T- P+
nsmce4a	0.9619567595958043	0.0047127409866319254	153.70576826242817	3.9245792584215557e-4	3.5451041874817184	Treatment	A- T- P+
nsmfb	2.069714889802374	0.015578484163550519	34.44283214425596	0.0019561400405282672	3.0968118263495072	Treatment	A- T- P+
nsun2	0.6520552777311815	0.00711803303300557	332.69842667191637	6.788684637311063e-4	3.397974101770209	Treatment	A- T- P+
nt5c1ba	-0.8938966475878898	0.03313352127644804	251.64631666462324	0.005526259501667554	-2.774641458614233	Treatment	A- T- P+
nub1	1.2645302470391842	9.786775173227445e-5	591.6180736153337	2.122955661546143e-6	4.741353095024829	Treatment	A- T- P+
nucks1a	0.9545073617813585	1.634692004513246e-4	1038.264892138656	4.287192035744241e-6	4.596950605244458	Treatment	A- T- P+
nudc	0.811706197581443	1.3729894003955602e-4	751.8719650841392	3.373355001518447e-6	4.646670398409884	Treatment	A- T- P+
nudcd1	0.7430917356827089	0.0018273162043695023	293.1495703841159	1.0771072433010667e-4	3.872531557818962	Treatment	A- T- P+
nudcd2	0.5692000564059229	0.044816421153686996	157.51855011051794	0.00838922393092255	2.6359898564452693	Treatment	A- T- P+
nudt12	-0.6677504386675552	0.025647116623893847	293.26576208988195	0.003904947940210548	-2.8857398467476996	Treatment	A- T- P+
