gene	log2FoldChange	padj	baseMean	pvalue	stat
LOC137496014	-2.451446211983378	0.023171448237581597	170.10155912401981	0.005722234557724041	-2.763287462748341
fcer1gl	0.8751867956287487	0.02322533652091093	538.9260061957534	0.005736670530375095	2.76246503803422
vps37c	0.41932554766431684	0.02327264675023612	1012.5141121169486	0.005749486635823622	2.7617364604644647
impdh1a	1.1471497165276778	0.0233652096667887	30.660780560372356	0.00577348917156235	2.7603758810726777
si:dkey-262k9.2	-0.8979783072391377	0.023375796025987196	1731.7512917526371	0.005777240500326557	-2.760163698708973
fech	-0.6159479354914171	0.02339191733354742	159.34943621849064	0.005782361068170342	-2.759874269983956
ctnna1	0.44935077898811504	0.023400173519446052	2485.4543564624196	0.005785815432983475	2.7596791501931945
eloa	-0.4095517256864703	0.023400173519446052	1121.9350461740905	0.005786675250765039	-2.759630599713635
lrp5	-0.6209577821202259	0.023434753008125867	1072.7418658697613	0.005796364808732545	-2.7590839182392406
apol1	-0.7620234397171001	0.023443466770647105	158.63939122787298	0.005799658826585014	-2.75889825856163
si:ch211-202h22.9	-0.6860557051047297	0.023445286652010556	4079.3224587699765	0.0058012478848468345	-2.7588087289700276
dicp1.19	1.2411298350060636	0.02344768741966999	63.263748575814745	0.005802980881294925	2.758711114917425
clta	0.4993685992575719	0.023459799670225233	5240.038892251343	0.005807118041456637	2.758478188368098
lrrc4.1	-1.3149305500113042	0.023461887405224258	23.178200554384667	0.005809914120164826	-2.758320850853094
pam16	0.6797485961239532	0.023461887405224258	266.67081829057025	0.005809843300362288	2.7583248350955096
ica1	1.6603360368809938	0.02349390825350827	30.040493128424288	0.005818984708050648	2.7578109113680624
skida1	0.7278893121732566	0.023518510265966047	107.81173319180976	0.005826220544830564	2.757404633377566
kcnab2a	2.4709369102738523	0.023524076851761725	13.09654898254419	0.0058287422169736505	2.7572631533333056
lactb	-0.6419923231334795	0.02355049182667526	183.7287397141888	0.005836431209000689	-2.7568320978533776
abtb2b	1.2098383116446203	0.02355379555552414	42.581971039433355	0.005838394070036415	2.756722139189644
znrf2b	-0.5111756380817076	0.023584066385585217	313.1857839040103	0.005847043028708745	-2.7562380246948277
strbp	0.5532783731203943	0.023605533369295353	298.83314236586017	0.005853511820578656	2.755876364056438
snupn	0.6367560295628039	0.0236189477067599	269.54833437276574	0.005857985475820472	2.755626459253062
vps26b	0.27187231901931114	0.02362042292761275	582.8457982895917	0.005859498707500768	2.7555419668962897
pccb	0.4988599186878676	0.023625653061084263	961.94242957538	0.005861943742945471	2.75540548817715
