gene	log2FoldChange	padj	baseMean	pvalue	stat
mrpl22	1.0119925696216305	1.3043103897187092e-4	237.74929301714906	6.284917212808857e-6	4.516570590820337
lrp6	-0.670556065211796	1.3078907327567939e-4	529.7841407317969	6.310249518592687e-6	-4.515718326799266
si:ch211-248a14.8	-0.9139372142570864	1.3078907327567939e-4	2755.53321879434	6.314875350270817e-6	-4.515563051813196
ankrd9	-2.2663092359902324	1.3145826870246486e-4	73.20540908968599	6.360217930772233e-6	-4.514046776006698
hectd4	-0.994584835947155	1.3145826870246486e-4	565.385417160805	6.357134235794147e-6	-4.514149567825287
si:ch211-284e13.11	2.435388326746184	1.3145826870246486e-4	164.16530024411043	6.366342541232694e-6	4.513842759709309
mtf2	2.3005972750294057	1.3151860781695574e-4	137.9122897572395	6.375653111250878e-6	4.513532975673653
ccl19b	1.9593749547686417	1.31527957265344e-4	3072.1591790211337	6.388884114506436e-6	4.5130934936115805
psma4	0.710929461583662	1.31527957265344e-4	2655.7854785717423	6.388216072958284e-6	4.513115662450041
pcnx1	-0.7053317058272295	1.3197683459311812e-4	804.0450775766592	6.417098723840833e-6	-4.512159216036349
dennd2c	-0.8028226978359836	1.3458149572872773e-4	349.8250339079928	6.550282154766853e-6	-4.507801473289716
hopx	-0.9786404821915402	1.3492705642598085e-4	447.36898243164575	6.573655102504435e-6	-4.507045468236703
bada	-1.610727170530829	1.361601597018604e-4	251.61995189936965	6.640345865870105e-6	-4.504902388155703
kti12	1.3053857695905637	1.3633425370753453e-4	89.26736358128784	6.6554585406359456e-6	4.504419611069812
nup58	0.7936696497860081	1.3703981007868557e-4	386.8769804182583	6.696558456266464e-6	4.503111951963711
tacc3	2.628530613005899	1.3987861022177257e-4	400.97063463798725	6.842073176923542e-6	4.4985430839594045
dlc	1.207127457040917	1.4044116577203598e-4	2205.236968441325	6.8764120609225375e-6	4.497478473755782
vhll	1.4153775012038472	1.4160242629784365e-4	380.5616454260621	6.94014903261885e-6	4.4955158428830915
ciarta	-1.3595291552852486	1.4202944169183077e-4	1322.471374487028	6.96797668959776e-6	-4.494664356611463
ap1b1	0.5711921973869765	1.4239192704144942e-4	1630.7559780303984	6.997617488337551e-6	4.493760960716178
derl3	-1.7973455399678984	1.4239192704144942e-4	218.919228496943	6.9995934408095795e-6	-4.493700867594826
ccnb1	3.574334142446004	1.4419126521618726e-4	625.0498331367686	7.095047926555481e-6	4.490817038540501
nitr4a	2.3824984775306164	1.4420141696083483e-4	83.73161507737693	7.102551940461773e-6	4.490591906421001
apoa1a	-2.120257428203439	1.4652588224529852e-4	145850.83863368607	7.227578000920628e-6	-4.486874025779683
LOC137490993	3.485997519469852	1.4652588224529852e-4	57.010321430037024	7.231276842727123e-6	4.4867649731703745
tcf19l	2.1028844479677025	1.4660044069135015e-4	76.86497819451947	7.242077436396906e-6	4.486446845307191
crkl	0.5833155574055466	1.4768999783543695e-4	683.1319168561216	7.303075620365999e-6	4.484658637242466
tapbp.2	1.604562639093008	1.47790099257921e-4	536.478325673699	7.3152043106728275e-6	4.484304778495448
ska1	3.1273807679446866	1.4833669299886388e-4	49.001488456055164	7.3494645581600605e-6	4.483308246327375
uchl1	2.566054166202246	1.4962638386826574e-4	314.2170938904783	7.427899369182862e-6	4.4810434277020486
zfpm1	-1.3301001029519202	1.4962638386826574e-4	198.72351276599275	7.421752779445077e-6	-4.4812200837073455
ankrd52b	2.8059252314135765	1.4969442208317976e-4	85.49647528894279	7.438548297036619e-6	4.480737702903987
sarnp	0.5751769490985048	1.5045819092357674e-4	700.1136069009306	7.483809564567086e-6	4.47944292946603
allc	-2.782838047171813	1.5257938451900053e-4	1270.3121203932233	7.596729447319937e-6	-4.4762450286728726
ccn1l2	-1.61205882783415	1.530452932896585e-4	84.2436026935742	7.627360514654375e-6	-4.475385390862418
LOC101886558	2.3645516035317757	1.532040595871673e-4	123.02495785829107	7.6427147809793e-6	4.474955726194176
cpne1	0.6601748064319378	1.532822642809684e-4	3153.1647260743257	7.654061673912445e-6	4.474638731489355
yipf6	-0.5387339737660725	1.5366521430723712e-4	575.9368823171556	7.68064824997071e-6	-4.473897746620637
rnaseh2b	0.928538949485611	1.5676307401522543e-4	143.75330394319803	7.84310323192705e-6	4.4694226039427685
rmi1	1.7320814528856063	1.5895080126631067e-4	56.29687517916318	7.960279599046306e-6	4.466249429820103
zgc:174863	0.7687961069060496	1.5973793160830696e-4	2182.306952070484	8.007458367891037e-6	4.464984406268569
adprm	1.0135091217098573	1.5977882784798625e-4	386.1234413031387	8.017269595714276e-6	4.464722228961488
hdlbpa	-1.237152040343297	1.5978138319729655e-4	33012.48717021248	8.025159091951456e-6	-4.464511626880736
cenpl	2.501554856888923	1.5995643593249602e-4	40.37477533115354	8.072800161940223e-6	4.463244087540264
clca1	-2.406974190207159	1.5995643593249602e-4	9193.086632599323	8.062793093751547e-6	-4.4635097414633496
haus5	2.2923489541735034	1.5995643593249602e-4	78.22088243677256	8.060975954113099e-6	4.463558014205115
mrpl43	1.0832972112002563	1.5995643593249602e-4	259.06099569359264	8.042208340409983e-6	4.464057189706335
pitrm1	0.9854044485039488	1.5995643593249602e-4	663.797910265893	8.070403885622354e-6	4.463307671921239
ubqln4	0.7393228903324535	1.607738090269915e-4	3677.654939451817	8.121861436249631e-6	4.461946213957252
sart3	0.9009402874311649	1.6153002305208393e-4	681.821058248464	8.167909554438207e-6	4.46073485091186
cenpk	2.2470585765907427	1.633296276421798e-4	49.92516468008283	8.26684179351782e-6	4.458154221052387
gtdc1	1.3527924751429705	1.635089924211113e-4	97.63954918573312	8.283862587808768e-6	4.457713215163698
