gene	log2FoldChange	padj	baseMean	pvalue	stat
fchsd2	-1.0577090630795782	0.010079409650845013	1483.804658071693	0.0010913660655182127	-3.2658485382149247
tom1l2b	-0.5454061944224586	0.010096519597376894	1280.8512488239855	0.0010937187755442701	-3.265238667750828
arsa	-0.9829592456738738	0.010105817425717326	704.8760805090475	0.0010957893967796725	-3.264702923415421
slc10a3	-0.8752227406276863	0.010105817425717326	2681.6956601478028	0.0010962276567596683	-3.2645896498242992
ubxn4	-0.42310435648053485	0.010105817425717326	1112.2960877075443	0.001095298447683983	-3.2648298649114404
hhla2b.2	-1.0783222299441997	0.010132945921015227	1039.3794459119626	0.0010996723222024053	-3.2637007897480075
ada2b	1.5815639421652719	0.010220160790301806	57.97168976152187	0.001109643491621257	3.2611422711064058
vtg5	-4.889014056985153	0.010226739642469763	204087.56459141156	0.0011108643338420027	-3.2608304753513377
acp7	-1.4434364511513946	0.010240002798794926	1255.7977387386245	0.0011128122314406888	-3.2603336494910877
plxnc1	0.8967344387189625	0.010346915841634836	402.90985394090234	0.001124943299439718	3.2572575070541396
stra6l	-0.946742071220127	0.010364243094370635	1424.613165161809	0.0011273405238118735	-3.2566532607221115
chchd1	0.7664942575467373	0.010366169565707715	463.82835593206875	0.0011280635264678711	3.256471253235233
gramd1bb	-1.4832189379961005	0.010368978644188911	245.8073497844881	0.0011288828104377248	-3.2562651383474037
rps14	-0.5372699255971204	0.010402405840857512	18925.34965500097	0.0011330373195326995	-3.2552220737316597
chordc1b	0.4033846570905594	0.010423984725992657	407.4951554568198	0.0011359040268058766	3.254504394610368
eif1ad	-0.6764786758527421	0.010462777029299727	371.59181361235574	0.0011418033110626984	-3.253032763737543
fbxl14b	1.25188343710509	0.010462777029299727	60.94622110268292	0.001141545921685916	3.2530968250975034
pigs	0.8285651131299515	0.010462777029299727	414.7355492355767	0.0011429087307924617	3.252757788713937
rbm4.2	0.5310537189268156	0.010462777029299727	727.9292863849105	0.0011432406818879192	3.252675263313877
si:ch211-59o9.10	1.0863983090325329	0.010462777029299727	183.94248627939507	0.0011424005311036019	3.2528841737000396
zgc:85858	0.7701539450542616	0.010462777029299727	131.89032830383843	0.0011408774332200334	3.2532632668496118
asrgl1	-0.7907721358616308	0.010463955553478548	613.2610748143203	0.0011438877560318568	-3.252514459734808
LOC100150882	1.7311154909758892	0.0104648509370523	1273.0011518623794	0.0011447688523241325	3.2522956347467575
LOC101885062	-0.9417173877065174	0.0104648509370523	183.9389228449362	0.0011453259154498713	-3.2521573654464335
si:dkey-150i13.2	-1.2718001442310838	0.0104648509370523	107.43612413121524	0.0011455406692201487	-3.252104077758705
klhl21	-0.7644240029903416	0.010492355320586922	269.4603713762099	0.0011490711582454645	-3.2512293648954933
ackr4b	-1.530824881350279	0.010500550495822011	118.21245626364978	0.0011504887659992218	-3.250878837642232
corin	-1.1904350051618162	0.010556752033527366	54.30627770223545	0.001157169362038539	-3.2492323030870485
psmb13a	0.8466876961241737	0.01057014533588829	2649.454062574817	0.001159161017071508	3.2487431293018445
rngtt	0.6614986004816491	0.010583048292890584	206.03726762473732	0.001161100201533144	3.2482675886836407
LOC100535144	1.5379297808686534	0.010601574032004535	206.54099676670742	0.0011636578361940686	3.2476415085059025
