gene	log2FoldChange	padj	baseMean	pvalue	stat	metadata	value
ctbp1	0.7407375574184746	5.038531439754333e-5	585.8652367166701	3.255086615278216e-6	4.654030474963684	Treatment	A+ T- P+
ctbp1l	0.6052870174998726	3.7717038735615936e-7	1392.9240305065123	9.801630020670582e-9	5.734126256372391	Treatment	A+ T- P+
ctbs	-0.7928755624394818	0.0328468082317383	591.0131193495887	0.009124733874644743	-2.607345123877766	Treatment	A+ T- P+
ctc1	0.579424454983917	0.032813554146653524	209.73189165996286	0.00911320174531414	2.607778071625192	Treatment	A+ T- P+
ctcf	0.5395390827214736	5.069243530828958e-5	1394.633028206575	3.2798525200680878e-6	4.652468249461834	Treatment	A+ T- P+
ctdsp2	-1.2314287213092108	0.0016611931991193727	602.1034260002123	2.2690412764966611e-4	-3.6870103545530033	Treatment	A+ T- P+
ctdspl2b	1.2300179491728682	5.501679883144757e-8	285.32229804639945	9.620657492262654e-10	6.1155797159033485	Treatment	A+ T- P+
ctnna1	0.5552103081535196	0.003932436728650487	2485.4543564624196	6.486887419486595e-4	3.41039492485632	Treatment	A+ T- P+
ctnnbip1	0.5576387445586685	0.015174650592788	244.8888154547677	0.0034282459759584685	2.926477232654723	Treatment	A+ T- P+
ctnnbl1	0.7403770598507853	6.192031516934507e-6	447.74603915660543	2.650836584019402e-7	5.146717792265767	Treatment	A+ T- P+
ctns	-0.8730074536554631	0.002836017344564745	342.3624924194525	4.368296011859332e-4	-3.5167715340499783	Treatment	A+ T- P+
ctps1a	1.0963971572569735	0.0026058850784678087	505.6844768978022	3.9207327613207396e-4	3.545362639250461	Treatment	A+ T- P+
ctps1b	-0.7868428581115209	0.029625752565187853	198.64162105165974	0.008013057382089604	-2.651519129003065	Treatment	A+ T- P+
ctsa	-0.9835762971100118	0.00438589437797745	6600.295328790147	7.384033571705369e-4	-3.374908132522195	Treatment	A+ T- P+
ctsbb	-2.456199357516611	0.0027286724432739667	17567.150639219235	4.157888694103285e-4	-3.5298541127234224	Treatment	A+ T- P+
ctsd	-0.9367282185960162	3.99791796066923e-4	6510.49338877929	3.961603264081813e-5	-4.109707658266128	Treatment	A+ T- P+
ctsf	-1.780253793404709	1.305766029958912e-6	1076.8808908114281	4.192506658584742e-8	-5.482544849596548	Treatment	A+ T- P+
ctsh	-0.9158539001418251	0.03078647585475354	9294.844362198452	0.008406206016931525	-2.635303589226215	Treatment	A+ T- P+
ctsl.1	-2.170484900227861	0.007089227026435874	80609.73302429741	0.0013419496634779523	-3.2068542510192803	Treatment	A+ T- P+
ctss2.1	2.220970234200752	1.247631277411508e-5	1454.5662259509818	6.099468609182876e-7	4.9880408099822855	Treatment	A+ T- P+
