taxa	metadata	value	coef	stderr	N	N.not.0	pval	qval	comparison_name	base_treatment	comparison_treatment
Agromyces	Treatment	A+ T+ P-	-3.01134235906743	0.736433721182545	236	75	6.00584231135348e-5	0.0012710802204263	A- T- P- vs A+ T- P+	A- T- P-	A+ T- P+
Rhodospirillales_Genus	Treatment	A+ T+ P+	-0.365461507744615	0.089707683245356	236	9	6.38249251866656e-5	0.00134032342891998	A- T- P- vs A+ T- P+	A- T- P-	A+ T- P+
Piscinibacter	Treatment	A- T+ P-	-0.696197971722387	0.172315231977921	236	14	7.29993902367001e-5	0.00151368902277511	A- T- P- vs A+ T- P+	A- T- P-	A+ T- P+
Longivirga	Treatment	A+ T+ P+	2.7839590265596	0.689171284254061	236	134	7.31979556971351e-5	0.00151368902277511	A- T- P- vs A+ T- P+	A- T- P-	A+ T- P+
Plesiomonas	Treatment	A+ T+ P+	-1.91662503870389	0.474704152300591	236	230	7.38000364371591e-5	0.00151457802051715	A- T- P- vs A+ T- P+	A- T- P-	A+ T- P+
Piscinibacter	Treatment	A+ T- P+	-0.640963009781568	0.158931378564859	236	14	7.51496407941698e-5	0.00153067952564967	A- T- P- vs A+ T- P+	A- T- P-	A+ T- P+
Pseudomonas	Treatment	A- T+ P-	1.50253280284104	0.373701871215571	236	236	7.89022422581488e-5	0.00158330499464685	A- T- P- vs A+ T- P+	A- T- P-	A+ T- P+
Cytophagales_Genus	Treatment	A+ T- P-	-3.49052616052677	0.867800019706	236	87	7.84041592060706e-5	0.00158330499464685	A- T- P- vs A+ T- P+	A- T- P-	A+ T- P+
Hyphomicrobiales_Incertae_Sedis_Genus	Treatment	A- T- P+	3.12683586382093	0.778073827337389	236	168	7.95250747492902e-5	0.00158406931982226	A- T- P- vs A+ T- P+	A- T- P-	A+ T- P+
Spirosomataceae_Genus	Treatment	A- T- P+	0.765131998029664	0.191348142564551	236	9	8.60855487991366e-5	0.00170223176421067	A- T- P- vs A+ T- P+	A- T- P-	A+ T- P+
Piscinibacter	Treatment	A+ T+ P+	-0.696197971722389	0.174304825921319	236	14	8.76263525921873e-5	0.00172014339979881	A- T- P- vs A+ T- P+	A- T- P-	A+ T- P+
Sphaerotilus	Treatment	A+ T- P-	-2.4381664851133	0.613114288485669	236	49	9.38557828790845e-5	0.00182917493395281	A- T- P- vs A+ T- P+	A- T- P-	A+ T- P+
Azospira	Treatment	A- T+ P+	1.2562192699397	0.316076858668558	236	27	9.47005410127531e-5	0.00183245546859677	A- T- P- vs A+ T- P+	A- T- P-	A+ T- P+
Chryseotalea	Treatment	A+ T+ P+	3.64339944234962	0.919990915470409	236	139	1.0010674263853e-4	0.00192332741707657	A- T- P- vs A+ T- P+	A- T- P-	A+ T- P+
Thermoactinomycetaceae_Genus	Treatment	A+ T+ P-	0.21428983376741	0.0543035109449561	236	3	1.0578486785642e-4	0.00201810709171161	A- T- P- vs A+ T- P+	A- T- P-	A+ T- P+
Chlamydiales_Genus	Treatment	A+ T+ P+	2.29886374552818	0.583427245595173	236	111	1.0823929159987e-4	0.00205049119541302	A- T- P- vs A+ T- P+	A- T- P-	A+ T- P+
Verrucomicrobiia_Genus	Treatment	A- T+ P-	-1.64776519131634	0.418872864494859	236	91	1.1100341480407e-4	0.00208825174100168	A- T- P- vs A+ T- P+	A- T- P-	A+ T- P+
Rubrivivax	Treatment	A- T- P+	2.13285092850326	0.544629263495729	236	118	1.1889446331921e-4	0.00220606233651885	A- T- P- vs A+ T- P+	A- T- P-	A+ T- P+
Phreatobacter	Treatment	A- T+ P+	-2.05742072155907	0.525153136608804	236	229	1.1815708574013e-4	0.00220606233651885	A- T- P- vs A+ T- P+	A- T- P-	A+ T- P+
Pirellula	Treatment	A+ T- P+	-2.08064277751615	0.533136118061636	236	122	1.2528613333049e-4	0.00230884445709052	A- T- P- vs A+ T- P+	A- T- P-	A+ T- P+
